date,meeting_date,sharpe_positive,sharpe_negative,sharpe_net
2011-01-08,2011-01-26,,,
2011-03-04,2011-03-15,,,
2011-04-14,2011-04-27,0.3958741391852399,1.4852452314209885,-0.006511963402201392
2011-06-14,2011-06-22,1.4743098640767973,2.5388536303055895,0.6476783417928884
2011-06-29,2011-08-09,-1.2472934209803843,2.841084462024002,-5.082340621762603
2011-09-15,2011-09-21,0.2533577642024852,0.943371661070874,-0.40158648876099134
2011-10-22,2011-11-02,0.145824802305246,0.8149992735491174,-0.4402518479660174
2011-11-29,2011-12-13,0.4497600901674689,1.2736747953779195,-0.5581791970026194
2012-01-16,2012-01-25,0.8568907881567099,-0.6818274469011062,1.153436951663618
2012-03-01,2012-03-13,-0.18095776649864248,-1.241788865614659,0.772127672194874
2012-04-13,2012-04-25,-0.1477829954217236,1.5782999061314358,-1.3040091007838621
2012-06-12,2012-06-20,-1.1951855273123253,-0.6989679928824782,-0.21637503025047075
2012-07-24,2012-08-01,6.335008936456933,-2.042307295472969,5.9493815259388
2012-08-31,2012-09-13,1.9656147897474816,-2.050607572762059,2.36239784760868
2012-10-14,2012-10-24,-0.748103250419069,0.8643694176317269,-0.8976812086677028
2012-12-04,2012-12-12,-0.8767994499785149,-1.181372103751992,-0.060164210386618434
2013-01-04,2013-01-30,-1.1098208835311332,-1.046820493659005,-0.27517891765701985
2013-03-08,2013-03-20,-0.8070687791067939,1.8332113212457508,-1.4657952069940725
2013-04-19,2013-05-01,0.2572878716753575,1.4186097860906304,-0.5321109003528653
2013-06-06,2013-06-19,0.05530066070205072,-0.4943596868350866,0.29623897983928815
2013-07-17,2013-07-31,0.9024877805579837,-1.5056717815837042,1.4053739583062912
2013-07-17,2013-09-18,1.9141378401085194,-1.8213202250939358,2.231723341572494
2013-10-18,2013-10-30,-0.19227096658779336,0.6806653758717491,-0.4722002745635654
2013-12-16,2013-12-18,-0.6383489480393937,-0.8629266192300863,0.032911011629032226
2014-01-03,2014-01-29,-1.399600992647186,-1.3559925575182812,-0.2000915155450956
2014-03-05,2014-03-19,0.1154620828143944,-1.2707969918801378,0.765993792651456
2014-04-15,2014-04-30,-0.3877526839732128,0.8605967275204298,-0.7338428450928974
2014-06-09,2014-06-18,-0.6934840958912325,-0.017517948325011207,-0.449302219329993
2014-07-10,2014-07-30,-1.467297752821634,1.5919940802507668,-1.855465656731915
2014-09-04,2014-09-17,-1.0166399731164644,1.518184267322688,-1.4886347055233409
2014-10-20,2014-10-29,0.14796956366250627,-0.21524955931043277,0.2118760739876303
2014-12-03,2014-12-17,-0.3217169743902088,-0.8044271130142802,0.232962818487468
2015-01-20,2015-01-28,0.28841687854141346,-1.4502975967282028,0.9823997096936652
2015-03-03,2015-03-18,-0.856485041863386,-0.03605877911750782,-0.519964849864334
2015-04-08,2015-04-29,-1.7871319603348483,1.851789340488435,-2.1670867135282945
2015-06-02,2015-06-17,0.2497536890755998,0.05640923341848251,0.12456675353035052
2015-07-10,2015-07-29,0.2581605734296995,1.1105964508236268,-0.4478862113531965
2015-08-29,2015-09-17,-0.7556823006902761,-1.9790635356914252,0.6301908838961904
2015-10-20,2015-10-28,-1.4983679286962046,-0.9215837458246154,-0.3980434394427825
2015-12-03,2015-12-16,-1.304794432781898,-0.4436005464384189,-0.5749482928570357
2016-01-03,2016-01-27,-2.8485176494959874,2.0672344611421134,-3.0656890431115715
2016-03-07,2016-03-16,-1.8444921135745436,-0.29995744998231966,-1.019059211401215
2016-04-14,2016-04-27,-0.7006093378850043,-0.8696294628469364,0.013966094244406145
2016-06-06,2016-06-15,-0.175647559975865,-0.4548055515495726,0.13485961221429432
2016-07-12,2016-07-27,-0.9654852479470403,1.133674285121257,-1.2699008277190869
2016-09-12,2016-09-21,-0.6632444890433253,-0.01275175025501602,-0.43033848825702314
2016-10-24,2016-11-02,-1.7142767817710154,0.9437363117974731,-1.6538406153414638
2016-12-02,2016-12-14,-1.2180099642753475,0.00042596384527342424,-0.8073987314709044
2017-01-19,2017-02-01,0.380533779166587,-0.5622933105188263,0.5562806223367761
2017-03-03,2017-03-15,-0.7104712870096745,-1.558251956846119,0.36261947221193475
2017-04-28,2017-05-03,-1.0134631944232078,0.1813042532906129,-0.7784682804379054
2017-06-01,2017-06-14,0.8248172552048103,-0.5778295836687756,0.8704380035268905
2017-07-13,2017-07-26,-0.710916339035497,-0.043170894059708156,-0.4543389826470837
2017-09-05,2017-09-20,-1.2444194173865741,-0.20925490403836747,-0.7251833545792384
2017-10-20,2017-11-01,-1.8008614589975958,-0.9558398827563689,-0.7087842503492919
2017-11-30,2017-12-13,0.05677637677143532,-1.3860903849393083,0.7915917403795142
2018-01-19,2018-01-31,2.5726279651226176,1.4041218497779422,1.0133746656369316
2018-03-06,2018-03-21,1.216875422567363,-1.5819879219982695,1.7596238154097987
2018-04-19,2018-05-02,0.26820885587139986,-0.5907003112654315,0.5174958201564207
2018-05-31,2018-06-13,0.19060073407885833,-1.0070644675896616,0.691270485730846
2018-07-19,2018-08-01,-0.07064775640802498,-0.18201944103049197,0.050372335872617836
2018-09-12,2018-09-26,-0.5777344799283283,-1.2891502140948161,0.3017719733960583
2018-10-25,2018-11-08,-0.12982210977318592,-1.3949498378081382,0.6893730888760762
2018-12-07,2018-12-19,-0.33697709641972334,-0.5952767302866124,0.09781921171260707
2019-01-10,2019-01-30,0.3129796647497666,-1.4364811993722864,1.040003065940179
2019-03-12,2019-03-20,1.4451434540909707,-1.5506847709902494,1.910266902944688
2019-04-11,2019-05-01,1.503427544269208,-0.619485233902382,1.4024458685127903
2019-06-05,2019-06-19,-1.2765942323941588,-0.8911744640925757,-0.39395564738605654
2019-07-16,2019-07-31,0.7667422484547115,-0.6698304098359097,0.9205478050081357
2019-09-05,2019-09-18,0.9815061493599669,-0.6439028010909026,1.0556186863601444
2019-10-21,2019-10-30,0.002773587334318763,-0.8390425391843029,0.4713244185783576
2019-11-26,2019-12-11,-0.9772972362946769,-0.83692673578248,-0.21900598021711234
2020-01-17,2020-01-29,0.5951606357485197,-1.1019409344198867,1.0435151137334924
2020-02-27,2020-03-03,1.025871026455359,-1.1756303379040378,1.387463583869934
2020-02-27,2020-03-15,5.139092299059464,-2.4218669468041254,4.967386295168889
2020-04-09,2020-04-29,5.394519259452164,2.501821684957908,2.552180360233165
2020-05-21,2020-06-10,0.9727185502378843,0.19101246746218897,0.6815048586504391
2020-07-14,2020-07-29,0.2990191280556785,0.9706271845346454,-0.24898445951327758
2020-09-01,2020-09-16,-0.4345203198148766,-1.023811761444954,0.16993227123017285
2020-10-21,2020-11-05,0.6605616043457516,-0.21924757345973422,0.6424050403684228
2020-12-11,2020-12-16,1.0024867046565862,-0.6400775650778744,1.131001371949071
2021-01-13,2021-01-27,-0.8054556450005208,-0.3503913949679083,-0.4687332441138009
2021-03-02,2021-03-17,0.4839692395247836,-0.06255281698349409,0.42082160679202596
2021-04-14,2021-04-28,0.027630054329695074,-0.7515989706372909,0.401874663016327
2021-06-03,2021-06-16,0.3714443361740228,-1.4285762577111125,1.0218687219424403
2021-07-11,2021-07-28,1.0386649510134833,-1.2297588125331125,1.456600560853096
2021-09-09,2021-09-22,0.5332471703814992,-1.0941457351686306,0.9790031090151308
2021-10-22,2021-11-03,0.21172436441614645,-1.0398826930504999,0.6960605026207859
2021-12-02,2021-12-15,0.19994978415422704,-0.41467285798034065,0.3693200330321919
2021-12-17,2022-01-26,-0.2952247134068528,0.0639896243024971,-0.265589056207713
2022-02-24,2022-03-16,0.28965854721387757,-1.1026311638616988,0.7907655686695625
2022-04-05,2022-05-04,-0.3010188881193223,-0.2881864570799918,-0.08942263338389046
2022-06-03,2022-06-15,-0.16827755619653464,-0.7833679083965218,0.26841367991932463
2022-07-19,2022-07-27,-0.3282071114812644,0.865497070880454,-0.7024809072319941
2022-09-09,2022-09-21,0.45822405894427676,0.3524185620352189,0.17873427225570612
2022-10-20,2022-11-02,-0.5627696047154372,-0.6377662668292403,-0.11444443290978207
2022-12-01,2022-12-14,0.4944815936710185,-0.24224501976830698,0.5141313438102555
2023-01-21,2023-02-01,0.42241130358220497,-0.9512300753030264,0.8221338051147132
2023-03-14,2023-03-22,0.8150759662206739,-0.6851484372816014,0.9930800166752791
2023-04-21,2023-05-03,-0.45216874937019075,-0.6404990703076152,-0.025292920689365395
2023-05-31,2023-06-14,-0.03458135890871964,-0.4916475335468732,0.22606782009482515
