date,meeting_date,sharpe_positive,sharpe_negative,sharpe_net
2011-01-26,2011-01-26,0.020454545454545454,0.0,0.020454545454545454
2011-03-15,2011-03-15,0.017167381974248927,0.0,0.017167381974248927
2011-04-27,2011-04-27,0.009818304931723282,0.0012413948764247828,0.008576910055298499
2011-06-22,2011-06-22,0.007045998404679606,0.0025259239563945757,0.00452007444828503
2011-08-09,2011-08-09,0.0056925996204933585,0.0018975332068311196,0.003795066413662239
2011-09-21,2011-09-21,0.010067114093959731,0.0,0.010067114093959731
2011-11-02,2011-11-02,0.009675732217573221,0.0023535564853556486,0.007322175732217573
2011-12-13,2011-12-13,0.011547344110854504,0.0,0.011547344110854504
2012-01-25,2012-01-25,0.00963808025177026,0.0015735641227380016,0.008064516129032258
2012-03-13,2012-03-13,0.011547344110854504,0.0,0.011547344110854504
2012-04-25,2012-04-25,0.011108273748723188,0.0028089887640449437,0.008299284984678242
2012-06-20,2012-06-20,0.008131165022660624,0.0018661690215942416,0.006264996001066382
2012-08-01,2012-08-01,0.015184381778741865,0.0,0.015184381778741865
2012-09-13,2012-09-13,0.012359807736324101,0.0009155413138017853,0.011444266422522316
2012-10-24,2012-10-24,0.021739130434782608,0.0,0.021739130434782608
2012-12-12,2012-12-12,0.009725832145552109,0.0011738073279114615,0.008552024817640648
2013-01-30,2013-01-30,0.01694915254237288,0.0,0.01694915254237288
2013-03-20,2013-03-20,0.00982085042089359,0.0047485430606518456,0.005072307360241744
2013-05-01,2013-05-01,0.014858841010401188,0.0,0.014858841010401188
2013-06-19,2013-06-19,0.010197838058331634,0.0005098919029165817,0.009687946155415052
2013-07-31,2013-07-31,0.014204545454545454,0.0,0.014204545454545454
2013-09-18,2013-09-18,0.010536297545042672,0.0011589927299546939,0.009377304815087978
2013-10-30,2013-10-30,0.014102564102564103,0.0,0.014102564102564103
2013-12-18,2013-12-18,0.008670520231213872,0.0017160404624277457,0.006954479768786127
2014-01-29,2014-01-29,0.011848341232227487,0.0,0.011848341232227487
2014-03-19,2014-03-19,0.008807426803142109,0.0010711735301118781,0.007736253273030231
2014-04-30,2014-04-30,0.014580801944106925,0.001215066828675577,0.013365735115431349
2014-06-18,2014-06-18,0.008197805103794791,0.001057781303715457,0.007140023800079333
2014-07-30,2014-07-30,0.012746234067207415,0.0,0.012746234067207415
2014-09-17,2014-09-17,0.007903650733910425,0.0008781834148789362,0.007025467319031489
2014-10-29,2014-10-29,0.012345679012345678,0.0,0.012345679012345678
2014-12-17,2014-12-17,0.010365929811415013,0.0006244536030972898,0.009741476208317721
2015-01-28,2015-01-28,0.012259194395796848,0.0,0.012259194395796848
2015-03-18,2015-03-18,0.008069939475453935,0.0008069939475453934,0.0072629455279085405
2015-04-29,2015-04-29,0.012455516014234875,0.0,0.012455516014234875
2015-06-17,2015-06-17,0.010723860589812333,0.0011489850631941786,0.009574875526618154
2015-07-29,2015-07-29,0.014787430683918669,0.0,0.014787430683918669
2015-09-17,2015-09-17,0.007892758707090955,0.0010022550739163117,0.006890503633174643
2015-10-28,2015-10-28,0.012048192771084338,0.0,0.012048192771084338
2015-12-16,2015-12-16,0.0073284477015323115,0.0028869642460581835,0.0044414834554741284
2016-01-27,2016-01-27,0.00528169014084507,0.0,0.00528169014084507
2016-03-16,2016-03-16,0.006755034412439459,0.0025490695895997962,0.004205964822839663
2016-04-27,2016-04-27,0.005119453924914676,0.0,0.005119453924914676
2016-06-15,2016-06-15,0.00654485955822198,0.001636214889555495,0.004908644668666485
2016-07-27,2016-07-27,0.0052173913043478265,0.0,0.0052173913043478265
2016-09-21,2016-09-21,0.008809020436927413,0.001644350481559784,0.00716466995536763
2016-11-02,2016-11-02,0.006589785831960461,0.0,0.006589785831960461
2016-12-14,2016-12-14,0.00813953488372093,0.0034883720930232558,0.004651162790697674
2017-02-01,2017-02-01,0.003929273084479371,0.0,0.003929273084479371
2017-03-15,2017-03-15,0.007863153538419092,0.0005518002483101117,0.007311353290108981
2017-05-03,2017-05-03,0.003795066413662239,0.0,0.003795066413662239
2017-06-14,2017-06-14,0.006159648020113136,0.000754242614707731,0.005405405405405406
2017-07-26,2017-07-26,0.003875968992248062,0.0,0.003875968992248062
2017-09-20,2017-09-20,0.0049323239275063085,0.0020646937370956643,0.0028676301904106446
2017-11-01,2017-11-01,0.0038314176245210726,0.0,0.0038314176245210726
2017-12-13,2017-12-13,0.007247968372501647,0.0018669009444322424,0.005381067428069404
2018-01-31,2018-01-31,0.004651162790697674,0.0,0.004651162790697674
2018-03-21,2018-03-21,0.005678745267712277,0.001081665765278529,0.004597079502433748
2018-05-02,2018-05-02,0.002325581395348837,0.0,0.002325581395348837
2018-06-13,2018-06-13,0.005800981704596163,0.0013386880856760374,0.004462293618920125
2018-08-01,2018-08-01,0.0031446540880503146,0.0,0.0031446540880503146
2018-09-26,2018-09-26,0.009962000616206224,0.001745917633768101,0.008216082982438123
2018-11-08,2018-11-08,0.003194888178913738,0.0,0.003194888178913738
2018-12-19,2018-12-19,0.008079719903043361,0.00067330999192028,0.007406409911123081
2019-01-30,2019-01-30,0.008687987912364643,0.0013850415512465374,0.007302946361118106
2019-03-20,2019-03-20,0.010440068719439673,0.0010572221488040175,0.009382846570635655
2019-05-01,2019-05-01,0.00984859620755549,0.001175951785976775,0.008672644421578715
2019-06-19,2019-06-19,0.01046195652173913,0.0008152173913043478,0.009646739130434782
2019-07-31,2019-07-31,0.008831434788173557,0.0012799180852425445,0.007551516702931012
2019-09-18,2019-09-18,0.00703905540417802,0.0020435967302452314,0.004995458673932788
2019-10-30,2019-10-30,0.00768939871423169,0.0006302785831337451,0.007059120131097945
2019-12-11,2019-12-11,0.006816404067493575,0.00033523298692591353,0.006481171080567661
2020-01-29,2020-01-29,0.006230529595015576,0.0,0.006230529595015576
2020-03-03,2020-03-03,0.014388489208633094,0.0,0.014388489208633094
