date,meeting_date,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_total
2011-01-08,2011-01-26,0.0010740251156642433,-0.0018175809649702578,0.003304692663582287,-0.0004957038995373431,0.0020654329147389294
2011-03-04,2011-03-15,0.0004527960153950645,-0.0003169572107765452,0.003486529318541997,-0.0005886348200135839,0.0030337333031469323
2011-04-14,2011-04-27,0.0013143786102175644,-0.0002767112863615925,0.0013835564318079624,-0.0013143786102175644,0.00110684514544637
2011-06-14,2011-06-22,0.0006158510587900895,-4.737315836846843e-05,0.003458240560898195,-0.000663224217158558,0.0033634942441612583
2011-06-29,2011-08-09,0.0,0.000257201646090535,0.001800411522633745,-0.000257201646090535,0.001800411522633745
2011-09-15,2011-09-21,0.00019734245494013944,0.0004604657281936587,0.0030259176424154714,-0.0015129588212077357,0.002170767004341534
2011-10-22,2011-11-02,0.0003843443725578118,-0.0005444878611235667,0.0026904106079046826,-0.00041637307027096276,0.002113894049067965
2011-11-29,2011-12-13,0.00025998336106489183,0.00020798668885191348,0.00223585690515807,-0.0016638935108153079,0.0010399334442595673
2012-01-16,2012-01-25,0.0002858776443682104,0.0001905850962454736,0.0009052792071659996,-0.0010958643034114732,0.0002858776443682104
2012-03-01,2012-03-13,0.0006997900629811056,-8.74737578726382e-05,0.0005248425472358292,-0.0007872638208537439,0.0003498950314905528
2012-04-13,2012-04-25,3.0257186081694404e-05,-0.00024205748865355523,-0.0008472012102874433,-0.0006656580937972769,-0.001724659606656581
2012-06-12,2012-06-20,0.000132631858172333,0.0,-0.000132631858172333,-0.0012821079623325522,-0.0012821079623325522
2012-07-24,2012-08-01,0.00025519969376036747,0.0,0.0019139977032027562,-0.0007655990812811025,0.0014035983156820211
2012-08-31,2012-09-13,0.0006640736173038611,0.0001897353192296746,0.00246655914998577,-0.0011384119153780476,0.002181956171141258
2012-10-14,2012-10-24,-0.00010247651579846285,-6.831767719897523e-05,0.001878736122971819,-0.0012638770281810418,0.00044406490179333904
2012-12-04,2012-12-12,0.0005671811098838771,0.0002985163736230932,0.0006268843846084957,-0.0007164392966954238,0.0007761425714200424
2013-01-04,2013-01-30,0.000388299249288118,0.0004314436103201312,0.0004745879713521443,-0.0005608766934161705,0.000733454137544223
2013-03-08,2013-03-20,0.00018533619986655793,0.0006857439395062644,0.0006116094595596411,-0.0005930758395729854,0.0008896137593594781
2013-04-19,2013-05-01,0.0004900359359686377,0.0003811390613089404,0.0008439507786126538,-0.00040836327997386475,0.0013067624959163672
2013-06-06,2013-06-19,3.447324875896305e-05,0.0003792057363485935,0.0013099834528405958,-0.0018270821842250413,-0.00010341974627688913
2013-07-17,2013-07-31,-6.373080109616978e-05,0.0005098464087693582,0.0011046672190002762,-0.00023367960401928919,0.0013171032226541755
2013-07-17,2013-09-18,0.006234413965087282,0.008728179551122194,0.00997506234413965,0.0,0.02493765586034913
2013-10-18,2013-10-30,0.0005005787942308294,0.0002502893971154147,0.0010324437631010857,-0.001157588461658793,0.0006257234927885368
2013-12-16,2013-12-18,0.0003995060652284448,0.0002542311324181013,0.0028328611898017,-0.0007263746640517179,0.002760223723396528
2014-01-03,2014-01-29,0.00021995747488818827,0.00043991494977637654,0.001246425691033067,-0.0005132341080724393,0.0013930640076251924
2014-03-05,2014-03-19,0.00029717682020802375,0.0005943536404160475,-9.905894006934126e-05,-0.00029717682020802375,0.0004952947003467063
2014-04-15,2014-04-30,4.101218061764344e-05,0.0002870852643235041,0.00131238977976459,-0.00036910962555879097,0.0012713775991469466
2014-06-09,2014-06-18,6.195019204559534e-05,0.00037170115227357206,0.0008053524965927394,-0.0008053524965927394,0.0004336513443191674
2014-07-10,2014-07-30,0.0007080899274207824,0.0004130524576621231,0.0007670974213725144,-0.001298164866938101,0.0005900749395173187
2014-09-04,2014-09-17,0.000709174134485204,0.0007736445103474954,-6.447037586229128e-05,-0.00019341112758687384,0.0012249371413835342
2014-10-20,2014-10-29,0.00014008872285780995,0.00018678496381041327,0.002708381975250992,-0.0005136586504786365,0.002521597011440579
2014-12-03,2014-12-17,0.000167089961235129,-0.0002005079534821548,0.0014035556743750835,-0.0011362117363988772,0.0002339259457291806
2015-01-20,2015-01-28,0.0,0.002240143369175627,0.002240143369175627,0.0,0.004480286738351254
2015-03-03,2015-03-18,0.0,0.00017609509134932863,0.0005282852740479859,-0.0012326656394453005,-0.0005282852740479859
2015-04-08,2015-04-29,0.0003932785126921702,0.0008223096174472649,-0.0001787629603146228,-0.0005362888809438684,0.0005005362888809439
2015-06-02,2015-06-17,-9.993670675239016e-05,0.0005996202405143409,0.0006662447116826011,-0.00033312235584130053,0.0008328058896032512
2015-07-10,2015-07-29,-0.00021142766531000582,0.0009514244938950262,0.0006342829959300174,-0.001849992071462551,-0.0004757122469475131
2015-08-29,2015-09-17,0.0003374957813027337,0.001181235234559568,0.0,-0.0003374957813027337,0.001181235234559568
2015-10-20,2015-10-28,0.0012892701152449613,0.0008156606851549756,-0.0002104930800399937,-0.0002104930800399937,0.0016839446403199496
2015-12-03,2015-12-16,-0.00042769567076937696,0.000594021764957468,-2.3760870598298723e-05,-0.0006890652473506629,-0.0005465000237608706
2016-01-03,2016-01-27,0.0005764796310530361,0.001345119139123751,0.0009607993850883935,-0.0003843197540353574,0.002498078401229823
2016-03-07,2016-03-16,0.0001924631433080565,0.0012317641171715617,0.0001154778859848339,-0.0008853304592170599,0.0006543746872473921
2016-04-14,2016-04-27,-0.001838235294117647,0.0013786764705882354,-0.0011488970588235295,-0.00022977941176470588,-0.001838235294117647
2016-06-06,2016-06-15,-0.0003899851805631386,0.0006629748069573356,0.0,-0.0005849777708447079,-0.0003119881444505109
2016-07-12,2016-07-27,0.00019912385503783353,0.0011947431302270011,-0.0014934289127837516,-0.0005973715651135006,-0.0006969334926324173
2016-09-12,2016-09-21,-0.00013820744938152166,0.0013129707691244559,-0.0007601409715983691,-0.0002073111740722825,0.0002073111740722825
2016-10-24,2016-11-02,-7.35925426223476e-05,0.0005642094934379982,0.0001471850852446952,-0.0009076413590089538,-0.00026983932294860787
2016-12-02,2016-12-14,0.0003080952014172379,0.0003594444016534442,0.0010526586048422296,-0.00033376980153534107,0.0013864284063775706
2017-01-19,2017-02-01,0.001306858901395388,0.0009696049913578685,0.0005480376038109691,-0.00016862695501875975,0.002655874541545466
2017-03-03,2017-03-15,0.00015796540557617883,0.0009477924334570729,0.00019745675697022352,-7.898270278808941e-05,0.0012242318932153859
2017-04-28,2017-05-03,6.747638326585695e-05,0.0002699055330634278,0.0015856950067476383,-0.0011133603238866396,0.0008097165991902834
2017-06-01,2017-06-14,0.0007107054686915538,0.0011969776314805117,0.0005610832647564898,-7.481110196753198e-05,0.0023939552629610233
2017-07-13,2017-07-26,4.102227509537679e-05,0.0002871559256676375,0.0,-0.00016408910038150716,0.00016408910038150716
2017-09-05,2017-09-20,-0.00020192841637639458,0.0003533747286586905,-0.00020192841637639458,-0.0002524105204704932,-0.00030289262456459186
2017-10-20,2017-11-01,-0.00013590341797096198,-0.0004530113932365399,0.00031710797526557794,0.0,-0.00027180683594192395
2017-11-30,2017-12-13,-0.00013587879611386643,0.0004076363883415993,0.0015626061553094639,0.0,0.0018343637475371967
2018-01-19,2018-01-31,0.000648403306856865,0.0014589074404279462,0.00259361322742746,-0.000648403306856865,0.004052520667855406
2018-03-06,2018-03-21,0.0,0.001477794197713308,0.00163335148168313,7.777864198491094e-05,0.0031889243213813487
2018-04-19,2018-05-02,0.0008848513449740443,0.0011798017932987258,0.0027725342142520056,-0.0014747522416234072,0.0033624351109013684
2018-05-31,2018-06-13,0.00021111298767100152,0.0005066711704104037,0.0014355683161628103,-0.0006333389630130045,0.001520013511231211
2018-07-19,2018-08-01,9.805844283192783e-05,0.0015689350853108452,0.0020592272994704843,-0.0003922337713277113,0.003333987056285546
2018-09-12,2018-09-26,0.002231916404585574,0.0010145074566298062,-0.0006087044739778837,0.0,0.002637719387237496
2018-10-25,2018-11-08,0.00254612401582514,0.001018449606330056,0.001762701241725097,-0.00027419797093501506,0.005053076892945278
2018-12-07,2018-12-19,0.00043031574417729007,0.0007530525523102577,0.000510999946210532,-0.0007530525523102577,0.0009413156903878221
2019-01-10,2019-01-30,0.0017048977061376318,0.0021698698078115313,0.0007749535027898327,0.0,0.0046497210167389955
2019-03-12,2019-03-20,-0.0001272264631043257,0.0004325699745547074,0.0003053435114503817,-0.000178117048346056,0.0004325699745547074
2019-04-11,2019-05-01,0.0001705495105229048,0.000818637650509943,0.0010232970631374287,-0.00047753862946413344,0.0015349455947061433
2019-06-05,2019-06-19,0.0003395091667475022,0.0009457755359394704,0.00012125327383839364,-0.0002910078572121447,0.0011155301193132214
2019-07-16,2019-07-31,0.0006904610155088166,0.001752708731676227,-0.00010622477161674102,-0.0009560229445506692,0.0013809220310176333
2019-09-05,2019-09-18,0.00037821482602118004,0.0008320726172465961,7.5642965204236e-05,-0.000605143721633888,0.0006807866868381241
2019-10-21,2019-10-30,0.00027172272205784674,0.0006944025119256083,0.0013888050238512167,-0.00027172272205784674,0.002083207535776825
2019-11-26,2019-12-11,0.00035432436785311645,0.0013850861652440006,0.0005475922048639073,-0.0003865356740215816,0.0019004670639394428
2020-01-17,2020-01-29,-5.679559266200943e-05,0.000397569148634066,0.000795138297268132,-0.0001703867779860283,0.0009655250752541603
2020-02-27,2020-03-03,-7.95291872117067e-05,0.0004771751232702402,-0.0003976459360585335,-7.95291872117067e-05,-7.95291872117067e-05
2020-02-27,2020-03-15,-0.002849002849002849,0.005698005698005698,0.004273504273504274,0.0014245014245014246,0.008547008547008548
2020-04-09,2020-04-29,-0.002861230329041488,-0.001430615164520744,-0.002861230329041488,0.0,-0.00715307582260372
2020-05-21,2020-06-10,-0.000388681592039801,-0.0002332089552238806,-0.002409825870646766,-0.0001554726368159204,-0.003187189054726368
2020-07-14,2020-07-29,-0.0009558567952728537,0.0007820646506777894,-0.0001737921445950643,-0.0013034410844629822,-0.0016510253736531108
2020-09-01,2020-09-16,0.0010121851520224238,0.0005060925760112119,-0.00031144158523766885,-0.00023358118892825164,0.0009732549538677152
2020-10-21,2020-11-05,0.0001313197636244255,0.0003676953381483913,0.000525279054497702,-0.0006828627708470124,0.0003414313854235062
2020-12-11,2020-12-16,-0.0001803914494452963,0.0004960764859745648,0.0005862722106972129,-0.0005862722106972129,0.0003156850365292685
2021-01-13,2021-01-27,0.0008109934669970714,0.0006307726965532778,-0.001757152511826988,-0.00027033115566569047,-0.0005857175039423293
2021-03-02,2021-03-17,0.0007873130131593746,0.0014246616428598207,-0.0007498219172946425,-0.0010122595883477674,0.0004498931503767855
2021-04-14,2021-04-28,0.0017815929060209742,0.0010527594444669393,-0.00028343523504879137,-0.00044539822650524355,0.0021055188889338786
2021-06-03,2021-06-16,0.0014505893019038985,0.000967059534602599,0.0014808099123602297,-0.00021154427319431852,0.0036869144756724085
2021-07-11,2021-07-28,0.000757002271006813,0.0011355034065102195,0.0011355034065102195,0.0,0.003028009084027252
