date,meeting_date,arouba_score,arouba_pos,arouba_neg
2011-01-08,2011-01-26,,,
2011-03-04,2011-03-15,,,
2011-04-14,2011-04-27,2.0438131325235287,-0.4952263101644396,-0.11146883679816477
2011-06-14,2011-06-22,1.351646490424998,-0.2292150404423425,0.46476384621474304
2011-06-29,2011-08-09,-12.584773702738216,2.3560147251663546,5.109483779556124
2011-09-15,2011-09-21,-0.06614342333451825,0.2881236067895288,1.8570749766948595
2011-10-22,2011-11-02,0.6895286247189228,0.5809755023296013,-0.11237215365318433
2011-11-29,2011-12-13,0.26517583694451985,-0.8937569866061352,-0.743140233466905
2012-01-16,2012-01-25,0.3483466224277725,-1.153274848826934,0.07539115181275412
2012-03-01,2012-03-13,-0.6241160896789649,0.2845474579776864,1.3932530179861846
2012-04-13,2012-04-25,0.5018695559375478,-0.9704182970869738,0.6382930213279028
2012-06-12,2012-06-20,0.3153813095927941,-1.0402437102875595,0.12254215602914245
2012-07-24,2012-08-01,0.7039704914512435,1.378982260647589,-1.8124495996555123
2012-08-31,2012-09-13,0.8271982850792549,0.1099668450974046,-2.076949735275417
2012-10-14,2012-10-24,0.5488889777999384,-0.664128034561863,-1.1246115983548315
2012-12-04,2012-12-12,0.5554551822204257,-1.0016530784995377,-0.5708235549622656
2013-01-04,2013-01-30,-0.15429672621636806,-2.2382460427753927,-0.46530618751797914
2013-03-08,2013-03-20,0.6145263905832116,-0.9326487982211529,-0.09042313942684663
2013-04-19,2013-05-01,0.48338367237743096,-0.334063842650865,-0.4572829403649446
2013-06-06,2013-06-19,0.5370666552367953,-0.523319007121347,-0.8983558996271757
2013-07-17,2013-07-31,0.7808526406524041,-0.9572537811632515,-2.1320981828138996
2013-07-17,2013-09-18,1.576323139420506,1.8944617504930679,-1.7890733034471706
2013-10-18,2013-10-30,0.05522459404111419,-1.6758857479545386,-0.4289729113880871
2013-12-16,2013-12-18,0.32909373487789007,-0.7955331377594259,-0.5118641603273055
2014-01-03,2014-01-29,-0.8059941334932376,-0.30806805442998914,0.37280581074199326
2014-03-05,2014-03-19,-0.3070259726880299,-1.4665469770680983,-0.9620473508753801
2014-04-15,2014-04-30,0.458214294394104,0.4692413150975341,-0.6798449904234674
2014-06-09,2014-06-18,-0.12218916496520234,-1.3769590965435035,-0.6493346520579182
2014-07-10,2014-07-30,-0.21765493056698335,0.39398529186069603,0.32674836544037505
2014-09-04,2014-09-17,0.022459627869840314,0.8751308346743645,0.9346135751583429
2014-10-20,2014-10-29,0.6120890891764518,-0.1891937532267415,-1.5316955729208237
2014-12-03,2014-12-17,0.1308971057389655,-0.48034928095156926,1.1458993194729032
2015-01-20,2015-01-28,0.3175803207157783,2.4800381168358894,-0.6479969850464525
2015-03-03,2015-03-18,0.14914703571096555,0.0396829924532274,0.5505956139027528
2015-04-08,2015-04-29,0.28018216089035686,0.9748579325471269,0.6472141291116512
2015-06-02,2015-06-17,0.5714386899508189,1.0162793575635491,0.08207805214665423
2015-07-10,2015-07-29,-0.07540438281674372,0.6906534488013071,0.44292665533232944
2015-08-29,2015-09-17,-0.26263733253515914,0.2865681245479586,-0.32683713548408466
2015-10-20,2015-10-28,0.29155127957582017,-0.5418520095503758,0.252600684105835
2015-12-03,2015-12-16,0.5197459857914507,-0.9234839574133944,-0.4945429295081814
2016-01-03,2016-01-27,-3.381016081354339,-0.8867068097359642,-0.7191196040392311
2016-03-07,2016-03-16,0.21573468465430437,-1.1300751079319216,-0.33257544291450236
2016-04-14,2016-04-27,-0.2871258052116713,1.3152064877514145,-0.18005330615353438
2016-06-06,2016-06-15,0.44125810945089183,0.14410166089939078,-0.16127169701400165
2016-07-12,2016-07-27,-2.040450415205027,-0.03091572253067579,1.7719722971956762
2016-09-12,2016-09-21,0.10655084014746188,-0.355704708042141,-0.2795819130689064
2016-10-24,2016-11-02,0.33282207882937265,-1.2059952109365895,-0.05024421571689771
2016-12-02,2016-12-14,0.6281389147370537,0.7829413372696452,0.291749824141434
2017-01-19,2017-02-01,0.45816579654048906,0.2006766384756634,-0.8071576012233691
2017-03-03,2017-03-15,0.6375211438367673,-1.0102897727919153,-1.8301639495575217
2017-04-28,2017-05-03,0.14516858288004766,-1.5275487320024912,-0.8124731496794554
2017-06-01,2017-06-14,0.6345478560656655,-0.5859993401809067,-1.4118146357547499
2017-07-13,2017-07-26,0.36938617571845905,1.0964459321814246,0.19088645224516457
2017-09-05,2017-09-20,0.17398282626677417,-0.6810308243803279,-0.30926272867577737
2017-10-20,2017-11-01,0.5849133981749103,-0.5541412850150477,-0.7670006653045729
2017-11-30,2017-12-13,1.0892871789936294,-0.38820849691056997,-2.4691362619867223
2018-01-19,2018-01-31,6.41872074735974,2.2995237365219676,-3.2138968215597656
2018-03-06,2018-03-21,-0.013045595705453801,0.060102584252413556,-0.23969695683056813
2018-04-19,2018-05-02,0.2330510727687294,2.7114454910599655,0.6178196098251881
2018-05-31,2018-06-13,0.4502339990897047,-0.39282413000143734,-1.3241329002720001
2018-07-19,2018-08-01,-1.0271549422144328,0.0858151009286773,0.3667538237535131
2018-09-12,2018-09-26,-0.10481906806935815,-0.8705295054479157,-0.7474923161664319
2018-10-25,2018-11-08,0.5515574711889601,-0.44108102385803294,-1.6939048415313058
2018-12-07,2018-12-19,0.27398535923179207,-0.4508778271312599,0.06277007559837175
2019-01-10,2019-01-30,1.104834825599387,-0.8027616199561958,-2.536529359591042
2019-03-12,2019-03-20,0.48328592381185626,-0.6510673001796288,-1.2196817907414264
2019-04-11,2019-05-01,0.2352654410490714,-0.5304859947583715,-0.392341573368621
2019-06-05,2019-06-19,0.4566615442712131,0.11942382298081415,-0.5657306422456532
2019-07-16,2019-07-31,0.0994861155546539,-0.4717403827489385,-0.4458339456490026
2019-09-05,2019-09-18,0.23432760603438,-0.8451612472155511,-1.2959669269203589
2019-10-21,2019-10-30,0.557964431310478,-0.483151613833042,-1.4819531574068934
2019-11-26,2019-12-11,0.2567510082000986,-1.0657737802400231,-0.7209814054826714
2020-01-17,2020-01-29,0.2672873444307758,-0.5915142030039434,-1.3260421196694467
2020-02-27,2020-03-03,0.8906327674126278,2.071562766549225,-1.1509465847129947
2020-02-27,2020-03-15,29.25392473171748,5.184575566838847,-1.4012925945684942
2020-04-09,2020-04-29,0.8918846838954053,2.7520704516371044,-0.4557813320419948
2020-05-21,2020-06-10,-0.3731644736029626,-0.4919784548139856,0.19415388955444665
2020-07-14,2020-07-29,-0.3631801961745696,1.3410909152287693,1.6278351121527939
2020-09-01,2020-09-16,0.05731150044205886,0.9583834403735231,-0.7789266403725407
2020-10-21,2020-11-05,-0.05317170108371187,0.5088010933765632,0.7686316188966039
2020-12-11,2020-12-16,-0.05934248570404285,-0.08120040705318758,-0.5833447080995369
2021-01-13,2021-01-27,-0.10461413152329631,-0.7206479521342403,-0.07998322057591487
2021-03-02,2021-03-17,-0.053119798181884545,0.4374421924021597,0.6226558087576383
2021-04-14,2021-04-28,-0.031060213849940625,-1.1400149662351213,-1.181473990709894
2021-06-03,2021-06-16,-0.011475904740191046,-0.039159438166268774,-0.1962838375123461
2021-07-11,2021-07-28,0.0784494238419922,-0.12679011718015148,-1.5495450501091022
2021-09-09,2021-09-22,0.04531731381085718,0.23103861252048727,-1.0654913849592251
2021-10-22,2021-11-03,-0.03285196877195406,-0.1288995012984741,0.31838116872188027
2021-12-02,2021-12-15,0.02169169246499061,-0.3779912734797458,-0.9793343422399942
2021-12-17,2022-01-26,-0.2938519468190669,-1.179002656480123,-0.25039438631467903
2022-02-24,2022-03-16,0.1298479028379128,1.0160566652069074,-1.1400300856982126
2022-04-05,2022-05-04,-0.07642458511639838,-0.03287403383185363,-0.517813495839896
2022-06-03,2022-06-15,-0.0341760237133942,-0.82107471519983,-1.2658716027225392
2022-07-19,2022-07-27,-0.059579223598804416,0.05744772045640635,-0.394067682907969
2022-09-09,2022-09-21,-0.06170119784436033,0.5050240608924055,0.18824242456987555
2022-10-20,2022-11-02,-0.0783997920050844,-0.7697273740701583,0.07073218284603941
2022-12-01,2022-12-14,-0.11941656804943683,0.1870128008259687,0.7921465870949863
2023-01-21,2023-02-01,-0.17995123351741313,-0.9580846747313274,-0.38600535515808915
2023-03-14,2023-03-22,-0.03992365226356561,-0.2810319362389184,0.2513389497098935
2023-04-21,2023-05-03,-0.02694096660299456,-1.4055710105059487,-1.2363771854588377
