date,meeting_date,arouba_score,arouba_pos,arouba_neg
2011-02-16,2011-01-26,0.000252525,0.022727272727272728,0.01818181818181818
2011-04-05,2011-03-15,0.0006105,0.019230769230769232,0.010683760683760684
2011-05-18,2011-04-27,0.0008200746268656716,0.019189765458422176,0.008528784648187633
2011-07-13,2011-06-22,-0.0007230650759219089,0.010845986984815618,0.021691973969631236
2011-08-30,2011-08-09,-0.0008401587901701324,0.00945179584120983,0.024574669187145556
2011-10-12,2011-09-21,-0.0004400635451505017,0.011705685618729096,0.020066889632107024
2011-11-23,2011-11-02,-0.00013577800407331975,0.014256619144602852,0.016293279022403257
2012-01-03,2011-12-13,0.0,0.016091954022988506,0.016091954022988506
2012-02-15,2012-01-25,0.0,0.01650943396226415,0.01650943396226415
2012-04-03,2012-03-13,0.0,0.016091954022988506,0.016091954022988506
2012-05-16,2012-04-25,0.00045045045045045046,0.02027027027027027,0.013513513513513514
2012-07-11,2012-06-20,0.0,0.017716535433070866,0.017716535433070866
2012-08-22,2012-08-01,0.0,0.019438444924406047,0.019438444924406047
2012-10-04,2012-09-13,0.00019596296296296297,0.01763668430335097,0.014109347442680775
2012-11-14,2012-10-24,0.0002850090252707581,0.019855595667870037,0.01444043321299639
2013-01-02,2012-12-12,0.0001605650289017341,0.014450867052023121,0.011560693641618497
2013-02-20,2013-01-30,0.00019201228878648233,0.013824884792626729,0.010752688172043012
2013-04-10,2013-03-20,0.0005778120184899846,0.01694915254237288,0.007704160246533128
2013-05-22,2013-05-01,0.0006913585185185185,0.016296296296296295,0.005925925925925926
2013-07-10,2013-06-19,0.00031610526315789474,0.015647226173541962,0.00995732574679943
2013-08-21,2013-07-31,0.0002236473087818697,0.015580736543909348,0.0113314447592068
2013-10-09,2013-09-18,0.00028702611940298507,0.01990049751243781,0.012437810945273632
2013-11-20,2013-10-30,0.0002779936061381074,0.017902813299232736,0.011508951406649617
2014-01-08,2013-12-18,0.00017423103057757645,0.01698754246885617,0.01245753114382786
2014-02-19,2014-01-29,0.0002364066193853428,0.01773049645390071,0.01182033096926714
2014-04-09,2014-03-19,0.00017266666666666667,0.016835016835016835,0.012345679012345678
2014-05-21,2014-04-30,0.00024242424242424245,0.01818181818181818,0.012121212121212121
2014-07-09,2014-06-18,0.0004819014778325123,0.019704433497536946,0.008620689655172414
2014-08-20,2014-07-30,0.0003853560693641618,0.018497109826589597,0.009248554913294798
2014-10-08,2014-09-17,0.00048404840484048405,0.019801980198019802,0.007700770077007701
2014-11-19,2014-10-29,0.0003257113543091655,0.017783857729138167,0.01094391244870041
2015-01-07,2014-12-17,0.0001505569105691057,0.013550135501355014,0.01084010840108401
2015-02-18,2015-01-28,0.00024931413612565447,0.020942408376963352,0.015706806282722512
2015-04-08,2015-03-18,0.0003092142857142857,0.022108843537414966,0.015306122448979591
2015-05-20,2015-04-29,-9.33191489361702e-05,0.015957446808510637,0.01773049645390071
2015-07-08,2015-06-17,0.0006830601092896175,0.020036429872495445,0.009107468123861567
2015-08-19,2015-07-29,0.0005416537753222836,0.020257826887661142,0.011049723756906077
2015-10-08,2015-09-17,0.000375375,0.018581081081081082,0.011824324324324325
2015-11-18,2015-10-28,0.0004288164665523156,0.017152658662092625,0.010291595197255575
2016-01-06,2015-12-16,0.000293141196013289,0.016611295681063124,0.011627906976744186
2016-02-17,2016-01-27,-0.00017543859649122808,0.015789473684210527,0.01929824561403509
2016-04-06,2016-03-16,0.00030269468267581475,0.017152658662092625,0.012006861063464836
2016-05-18,2016-04-27,0.00042517006802721087,0.017006802721088437,0.01020408163265306
