date,meeting_date,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total
1999-05-18,1999-05-18,,,,,,
1999-06-30,1999-06-30,,,,,,
1999-08-24,1999-08-24,0.4753263662463838,-7.416407212259693,0.04930252901265564,-34.025887305876616,,-0.3184105230857038
1999-10-05,1999-10-05,0.6109366763947803,-10.688499171506123,-2.9190277437483596,3.0624661421398516,,-0.8823370902452201
1999-11-16,1999-11-16,-1.4842005897194934,-1.4827942438702248,-3.2624455659133824,1.3235872134982265,,-3.417876782487159
1999-12-21,1999-12-21,-1.088190846847243,-1.0875409577467945,-0.34900612464632236,1.0094199235370263,,-0.5262160552041408
2000-02-02,2000-02-02,2.5822632967478008,-0.9075900846285357,-1.0543207040568752,0.85417083379011,,0.013661287815298052
2000-03-21,2000-03-21,1.6161591709097858,-0.7977208853352834,0.3858965775231443,0.7561321663012113,,1.1975108291380496
2000-05-16,2000-05-16,1.3429671606338665,-0.7212097855942255,-1.0210485428114053,0.6865768032663431,,-0.13128189503076867
2000-06-28,2000-06-28,0.07545461296979447,1.371745645659572,-3.1871285855226485,0.6337362959262193,,-2.0996914068931494
2000-08-22,2000-08-22,0.06016272075517283,1.1719973037188658,-2.608261615368787,0.5917405069257484,,-2.2260943822885997
2000-10-03,2000-10-03,1.3581733030561918,0.9977320597945165,-1.4444676454908854,0.55727518122742,,-0.7213568240569534
2000-11-15,2000-11-15,3.749474384032278,0.8975522671757775,-0.8506375122540313,0.5283019045505878,,0.8287666975408788
2000-12-19,2000-12-19,1.7768697920566576,-1.0346845978921957,-2.2179957209286556,-1.2752780237213246,,-2.4159612343395134
2001-01-31,2001-01-31,-0.5106699238554679,-0.9609965497094596,-1.3802924307660687,0.5832428310041979,,-1.98995722520918
2001-03-20,2001-03-20,-0.4560443390099955,-0.9013853802277401,-1.3234395519104756,0.5581346022975316,,-1.763649513691469
2001-05-15,2001-05-15,-1.2320086552510376,-0.85184192940053,-1.7331783104470009,0.5360541624199847,,-2.4560827063959856
2001-06-27,2001-06-27,-1.1443135969179763,-0.8097970361586468,-0.8454142952098495,0.516432773047056,,-1.3267819245564685
2001-08-21,2001-08-21,-1.0732942332064799,-0.7735175648305298,-1.448494372813393,0.4988417435407762,,-1.8593840079689403
2001-10-02,2001-10-02,-0.051840340413362655,-0.7417858311185277,-0.9072456475867067,0.482950813011753,,-0.913558989355531
2001-11-06,2001-11-06,0.01024943845510875,-0.7137175819556022,-0.9553167982244373,0.4685007583538735,,-0.935599390511196
2001-12-11,2001-12-11,-1.0667879018822999,-0.6886528888459253,-0.4530130044620202,0.4552848050878957,,-0.8215095958417628
2002-01-30,2002-01-30,0.07062032512808408,-0.666087764662978,-1.322236802169972,0.44313567488170064,,-1.24806894646593
2002-03-19,2002-03-19,-0.24592600249717858,-0.6456296723700786,0.6979306012832095,0.43191635082585167,,0.5488792128254361
2002-05-07,2002-05-07,-0.07761526210580717,-0.626967643469621,0.6767402962372226,0.4215133590596141,,0.5878095046900719
2002-06-26,2002-06-26,-0.13524095736336703,-0.6098516517604232,1.3016370774171562,0.4118317928536372,,1.1645814895460072
2002-08-13,2002-08-13,-0.06359746458956474,-0.5940780323477522,-0.42343585783382204,0.4027915679428979,,-0.45037472238255083
2002-09-24,2002-09-24,-0.16093433607041463,-0.5794789560338945,-0.0025511955209506225,0.39432456377862374,,-0.0784417637981514
2002-11-06,2002-11-06,-0.23982513397312738,-2.4365226193082505,0.05164641836833403,0.38637241269185235,,-0.33091428261918576
2002-12-10,2002-12-10,-0.03764953850374731,-0.44570461143271023,-0.44436325830190465,0.3788847699364391,,-0.4497713610788229
2003-01-29,2003-01-29,1.0867592297845252,-2.583961592196442,0.6716550460655103,0.37181794545222,,0.6152067617682665
2003-03-18,2003-03-18,-0.21982144540957727,-2.0329101849236104,0.3330017466239271,0.36513381106320375,,-0.06308089266363112
2003-05-06,2003-05-06,-3.206822505159093,-1.9177081231409245,0.9907148312389155,0.3587989197721073,,-0.3898415716098074
2003-06-25,2003-06-25,-2.479272719190868,1.177106093597008,0.9105700462015599,0.35278379007075694,,0.26665561077717803
2003-08-12,2003-08-12,-0.0038839244725352,-0.21801642566026752,1.280426029959319,0.34706231986474123,-inf,0.9279202481700375
2003-09-16,2003-09-16,0.00019802028769006898,-0.21482210087755924,0.8978150680082634,0.3416113031071417,-5.775153982429965,0.5716766865261986
2003-10-28,2003-10-28,-0.001855190324527539,-0.2117642803356837,0.8747801073260475,0.3364100284903046,-4.065388629030289,0.5604916042050272
2003-12-09,2003-12-09,-1.7722671013246005,1.5162126617156748,0.8625278330439213,0.3314399441986429,-3.409470957391006,0.20978836122058578
2004-01-28,2004-01-28,-1.6752385995381385,-0.2446728934932799,0.493334681940449,0.3266843762240151,0.3384322939678712,-0.14516570002863668
2004-03-16,2004-03-16,-1.5983583812207287,-0.2414091487691418,0.8379125679536514,0.3221282904001748,0.3336781344225642,0.21345317167764852
2004-05-04,2004-05-04,0.1444622621474851,1.5055392537369665,0.8220533909935388,0.31775809034543334,0.3291193468973902,1.3024357603904781
2004-06-30,2004-06-30,0.009876884392819928,1.1784609467895304,0.7496157341231209,0.3135614450718337,0.3247428778450471,1.0910809080319948
2004-08-10,2004-08-10,-0.012417768731984335,1.1013312240142117,0.13929367149109545,0.30952714123994907,0.32053686528339603,0.44585981509891004
2004-09-21,2004-09-21,-1.459890744208674,1.1199465367122152,0.7418464547331993,0.305644955995208,0.3164905022695579,0.44965807694753757
2004-11-10,2004-11-10,-0.682485016125739,1.1430802440286083,0.7399532895770127,0.3019055470766956,0.31259391904623757,0.7761336367365308
2004-12-14,2004-12-14,-0.6714869410970885,0.9723508322602821,0.6966730075714842,0.2983003574891329,0.3088380809115649,0.7007939523470211
2005-02-02,2005-02-02,-0.6610071328342934,1.0826806867963212,0.7139587418586373,0.2948215325080761,0.3052146993888982,0.7466505773614579
2005-03-22,2005-03-22,1.5238881035487528,0.988192707051141,0.6873265648065211,0.2914618471737173,0.3017161546945527,1.6296174132692054
2005-05-03,2005-05-03,0.7719150617745073,0.9827081496253213,0.05536579652906728,0.28821464274018166,0.2983354278416468,0.6649818932082318
2005-06-30,2005-06-30,1.5743461571387816,1.0211574351598829,0.37047789489006094,0.28507377080035307,0.29506604099435113,1.3226869054849149
2005-08-09,2005-08-09,-0.7136040978994284,0.9733050449227187,0.6917126733413731,0.28203354401301584,0.2919020049120104,0.6375723519316648
2005-09-20,2005-09-20,-0.7031417320305957,-1.7725957178133283,-1.0843953010030791,0.2790886925287623,0.2888377725071622,-1.6625545516341322
2005-11-01,2005-11-01,-2.1595149326251146,0.9591344499401512,0.37493346422264817,0.27623432535098624,0.28586819769343125,-0.276724637620257
2005-12-13,2005-12-13,-1.4176349793962537,-0.471366587945826,0.37094695383608123,0.27346589598408705,0.2829884988249414,-0.3077910114185202
2006-01-31,2006-01-31,-1.482598041470799,-0.4660885387815164,1.19584565986554,0.270779171817291,0.28019422613324496,0.4355434282492661
2006-03-28,2006-03-28,-1.3226544003955765,1.099046198546149,0.7013328726654366,0.26817020677286263,0.2774812326547865,0.3775550357333752
2006-05-10,2006-05-10,-1.261985310814431,1.0182154655854543,1.0236611947838112,0.2656353168148197,0.2748456482147521,0.6930062887115626
2006-06-29,2006-06-29,1.6823117680479518,1.0274480506699155,-0.38788124265725143,0.26317105797089313,0.27228385609434314,0.6962412408209352
2006-08-08,2006-08-08,-0.5351775296438339,-0.5151246165518646,0.32418107829438814,0.26077420656826006,0.26979247206010426,0.004063560412686307
2006-09-20,2006-09-20,-0.5293957236757366,-0.5096515688999593,0.3211788891105731,0.2584417414240476,0.26736832547757383,0.004029574687791591
2006-10-25,2006-10-25,-0.5237980299904662,-0.5043499474792096,0.9019968215508634,0.2561708277659717,0.2650084422685667,0.5681997532031534
2006-12-12,2006-12-12,-0.5183748544028794,-0.4992109630939363,1.4151853157241925,0.25395880268776916,0.26271002950293304,1.073032827708288
2007-01-31,2007-01-31,2.542333112511523,-0.4942264459708804,2.2491926247666214,0.2518031619691116,0.2604704614425669,3.3462986496068186
2007-03-21,2007-03-21,2.4957089564452963,-0.4893887906602052,0.7288057858724123,0.24970154811114598,0.258287266878501,1.7739935182914155
2007-05-09,2007-05-09,2.374492109076125,-0.4846909068170297,0.7222082351534465,0.24765173945724694,0.256158117621734,1.7254501872385877
2007-08-07,2007-08-07,1.8506742925653303,1.4662399711836782,1.4951082111869771,-6.367120960380137,0.2540808180254915,1.7981357897950683
2007-09-18,2007-09-18,0.16224517879371406,-0.4980794237885952,-0.6056438426431531,-2.191410107198336,0.2520532954313542,-0.8569281593851686
2007-10-31,2007-10-31,0.7993788267662214,-0.49347839779783925,-0.16965101436442906,-1.9216307253440652,0.25007359144443103,-0.13344069594401417
2007-12-11,2007-12-11,1.64213402604951,-0.48900294316406134,-0.1962574685839116,-2.019678871020352,0.24813985395381918,0.22449966791114778
2008-01-30,2008-01-30,0.9696707663638316,-0.48464743726697795,0.6425965371941572,-4.574424759993438,0.24625032982421358,0.2495508708390467
