date,meeting_date,arouba_score,arouba_pos,arouba_neg
2011-01-26,2011-01-26,0.000252525,0.022727272727272728,0.01818181818181818
2011-03-15,2011-03-15,0.0006131201716738198,0.019313304721030045,0.01072961373390558
2011-04-27,2011-04-27,0.0008235867237687366,0.019271948608137045,0.008565310492505354
2011-06-22,2011-06-22,-0.0007262156862745098,0.010893246187363835,0.02178649237472767
2011-08-09,2011-08-09,-0.0008433472485768501,0.009487666034155597,0.024667931688804556
2011-09-21,2011-09-21,-0.00044154026845637587,0.01174496644295302,0.020134228187919462
2011-11-02,2011-11-02,-0.00013633333333333333,0.014314928425357873,0.016359918200409
2011-12-13,2011-12-13,0.0,0.016166281755196306,0.016166281755196306
2012-01-25,2012-01-25,0.0,0.016587677725118485,0.016587677725118485
2012-03-13,2012-03-13,0.0,0.016166281755196306,0.016166281755196306
2012-04-25,2012-04-25,0.00045248868778280545,0.020361990950226245,0.013574660633484163
2012-06-20,2012-06-20,0.0,0.017786561264822136,0.017786561264822136
2012-08-01,2012-08-01,0.0,0.019522776572668113,0.019522776572668113
2012-09-13,2012-09-13,0.0001966566371681416,0.017699115044247787,0.01415929203539823
2012-10-24,2012-10-24,0.0002860416666666667,0.019927536231884056,0.014492753623188406
2012-12-12,2012-12-12,0.0001610304347826087,0.014492753623188406,0.011594202898550725
2013-01-30,2013-01-30,0.0001926040061633282,0.01386748844375963,0.01078582434514638
2013-03-20,2013-03-20,0.000579598145285935,0.017001545595054096,0.0077279752704791345
2013-05-01,2013-05-01,0.0006934130757800892,0.01634472511144131,0.005943536404160475
2013-06-19,2013-06-19,0.0003170071326676177,0.015691868758915834,0.009985734664764621
2013-07-31,2013-07-31,0.00022428267045454547,0.015625,0.011363636363636364
2013-09-18,2013-09-18,0.0002877418952618454,0.0199501246882793,0.012468827930174564
2013-10-30,2013-10-30,0.00027870641025641026,0.017948717948717947,0.011538461538461539
2013-12-18,2013-12-18,0.00017462656072644723,0.0170261066969353,0.012485811577752554
2014-01-29,2014-01-29,0.00023696682464454977,0.017772511848341232,0.011848341232227487
2014-03-19,2014-03-19,0.00017305511811023622,0.01687289088863892,0.012373453318335208
2014-04-30,2014-04-30,0.00024301336573511544,0.018226002430133656,0.012150668286755772
2014-06-18,2014-06-18,0.00048309135802469133,0.019753086419753086,0.008641975308641974
2014-07-30,2014-07-30,0.00038624913093858633,0.01853997682502897,0.009269988412514484
2014-09-17,2014-09-17,0.0004851157662624035,0.019845644983461964,0.007717750826901874
2014-10-29,2014-10-29,0.0003266049382716049,0.01783264746227709,0.010973936899862825
2014-12-17,2014-12-17,0.00015096603260869566,0.01358695652173913,0.010869565217391304
2015-01-28,2015-01-28,0.0002501873905429072,0.021015761821366025,0.01576182136602452
2015-03-18,2015-03-18,0.00031026962457337886,0.02218430034129693,0.015358361774744027
2015-04-29,2015-04-29,-9.365124555160142e-05,0.01601423487544484,0.017793594306049824
2015-06-17,2015-06-17,0.0006855575868372943,0.02010968921389397,0.009140767824497258
2015-07-29,2015-07-29,0.0005436561922365989,0.02033271719038817,0.011090573012939002
2015-09-17,2015-09-17,0.00037664745762711863,0.01864406779661017,0.011864406779661017
2015-10-28,2015-10-28,0.0004302925989672978,0.01721170395869191,0.010327022375215147
2015-12-16,2015-12-16,0.0002941183333333333,0.016666666666666666,0.011666666666666667
2016-01-27,2016-01-27,-0.00017605633802816902,0.01584507042253521,0.01936619718309859
2016-03-16,2016-03-16,0.000303736660929432,0.01721170395869191,0.012048192771084338
2016-04-27,2016-04-27,0.0004266211604095563,0.017064846416382253,0.010238907849829351
2016-06-15,2016-06-15,-9.569454545454545e-05,0.016363636363636365,0.01818181818181818
2016-07-27,2016-07-27,-0.00011594260869565219,0.01217391304347826,0.01391304347826087
2016-09-21,2016-09-21,0.00012548613376835236,0.011419249592169658,0.009787928221859706
2016-11-02,2016-11-02,0.0002745749588138386,0.011532125205930808,0.008237232289950576
2016-12-14,2016-12-14,0.00030581100917431193,0.012844036697247707,0.009174311926605505
2017-02-01,2017-02-01,0.0007858546168958743,0.0137524557956778,0.005893909626719057
2017-03-15,2017-03-15,0.0009416195856873823,0.011299435028248588,0.003766478342749529
2017-05-03,2017-05-03,0.00017250284629981026,0.011385199240986717,0.009487666034155597
2017-06-14,2017-06-14,0.0002546470588235294,0.0071301247771836,0.0053475935828877
2017-07-26,2017-07-26,0.0002768546511627907,0.007751937984496124,0.005813953488372093
2017-09-20,2017-09-20,0.0003676470588235294,0.011029411764705883,0.007352941176470588
2017-11-01,2017-11-01,-0.00031928544061302685,0.009578544061302681,0.013409961685823755
2017-12-13,2017-12-13,0.00022446666666666666,0.010101010101010102,0.00808080808080808
2018-01-31,2018-01-31,0.0015503883720930233,0.011627906976744186,0.002325581395348837
2018-03-21,2018-03-21,0.0017056535087719297,0.017543859649122806,0.0021929824561403508
2018-05-02,2018-05-02,0.0011627906976744186,0.013953488372093023,0.004651162790697674
2018-06-13,2018-06-13,0.0007575757575757576,0.015151515151515152,0.00909090909090909
2018-08-01,2018-08-01,0.002096437106918239,0.015723270440251572,0.0031446540880503146
2018-09-26,2018-09-26,0.002,0.013333333333333334,0.0033333333333333335
2018-11-08,2018-11-08,0.001064961661341853,0.012779552715654952,0.006389776357827476
2018-12-19,2018-12-19,0.001764705882352941,0.011764705882352941,0.0029411764705882353
2019-01-30,2019-01-30,0.002967359050445104,0.011869436201780416,0.0
2019-03-20,2019-03-20,0.0004046940509915014,0.0113314447592068,0.0084985835694051
2019-05-01,2019-05-01,0.0006079027355623101,0.00911854103343465,0.0060790273556231
2019-06-19,2019-06-19,0.001639344262295082,0.01092896174863388,0.00273224043715847
2019-07-31,2019-07-31,0.002421307506053269,0.009685230024213076,0.0
2019-09-18,2019-09-18,0.0016750427135678392,0.01256281407035176,0.002512562814070352
2019-10-30,2019-10-30,0.0016759776536312849,0.0111731843575419,0.002793296089385475
2019-12-11,2019-12-11,0.0018691588785046728,0.012461059190031152,0.003115264797507788
2020-01-29,2020-01-29,0.001557632398753894,0.009345794392523364,0.003115264797507788
2020-03-03,2020-03-03,0.0,0.02158273381294964,0.02158273381294964
2020-03-15,2020-03-15,0.00041897150997151,0.01566951566951567,0.008547008547008548
2020-04-29,2020-04-29,-0.00015432175925925927,0.016203703703703703,0.018518518518518517
2020-06-10,2020-06-10,0.0003284068965517242,0.01839080459770115,0.013793103448275862
2020-07-29,2020-07-29,0.00031328289473684214,0.017543859649122806,0.013157894736842105
2020-09-16,2020-09-16,0.000512951526032316,0.01615798922800718,0.008976660682226212
2020-11-05,2020-11-05,-0.00019179113924050633,0.010548523206751054,0.012658227848101266
2020-12-16,2020-12-16,0.00015762909836065575,0.014344262295081968,0.012295081967213115
2021-01-27,2021-01-27,0.0,0.01616161616161616,0.01616161616161616
2021-03-17,2021-03-17,0.0002915448979591837,0.0163265306122449,0.012244897959183673
2021-04-28,2021-04-28,0.0007716049382716049,0.02263374485596708,0.0102880658436214
2021-06-16,2021-06-16,0.000850754132231405,0.024793388429752067,0.010330578512396695
2021-07-28,2021-07-28,0.001004016064257028,0.024096385542168676,0.008032128514056224
2021-09-22,2021-09-22,0.0008613255813953489,0.025193798449612403,0.009689922480620155
2021-11-03,2021-11-03,0.000356125,0.017628205128205128,0.011217948717948718
2021-12-15,2021-12-15,0.000553894538606403,0.02071563088512241,0.011299435028248588
2022-01-26,2022-01-26,0.000524475,0.01818181818181818,0.011363636363636364
