,inter_sent_economic_activity_x_gdp,inter_sent_financial_conditions_x_vix,inter_sent_labor_market_x_unemployment_gap,inter_sent_monetary_policy_x_implied_ffr,inter_sent_inflation_x_inflation_dev_from_target,inter_sent_macro_x_cfnai
0,26506.056425900035,-109.12255289117755,-1.9265963403858593,-44.09100181645636,-2.3381507128626464,-0.9024464380657645
1,-35803.94767359334,-107.9075345807837,1.752628491731911,-14.783449052399318,-1.6561734310122243,-0.08630462173553423
2,-42614.385493574875,-56.04796543830464,4.244612070106439,-27.84357569258099,-0.4645934960243475,0.17328679513998635
3,17373.967751816523,-270.52061633134394,1.1229959204726792,-9.088892405092283,0.014227020571967616,-0.0549306144334055
4,25237.691589737922,-164.6442223554996,-1.2276340767815086,10.683851222215667,0.033950913675563625,-0.12130075659799044
5,-115378.94282073088,-223.8030097668517,1.253613039814326,-35.2043005416439,-0.2810409571061345,0.28903717578961646
6,-221827.47851916737,-714.0528100249279,1.9058771935154306,-113.71523439140357,-0.9652592524289645,0.7415632948509743
7,-125606.11774938442,-406.25107879453276,0.1489217877325571,-52.35229078384859,-0.11251819034222836,1.4894276106062156
8,-85554.55592510615,-234.9293163051621,0.04219555209875796,-26.13960840282967,0.3345201297337501,0.7971192576439371
9,-352973.41457021644,-970.0700137790919,-0.6606122085637743,-56.822427482133754,-0.2941420416721112,8.434148346558134
10,-167907.85094549396,-543.4494119040615,0.3279894349188035,-22.56652282763118,-0.18456542920319835,3.6699473065393757
11,-297846.79696076945,-791.8925477523155,-6.843934140835917,-34.62912401145037,1.0044859773157089,0.6151681227469514
12,-110480.6438944284,-396.02168552630053,-7.1985745977188715,-16.424340874027134,0.18882940285121966,2.7996241706688356
13,-89620.91237313661,-390.75337644736516,-3.2638139707913774,-13.871943588691577,-0.2890523477284705,5.778424288260477
14,-128043.05718915515,-1020.1157407428184,-4.652690434904888,-10.874883358668162,2.0858948922960634,3.880520166385882
15,-243144.62139186106,-1834.2988167241042,-12.662240383098087,-4.415649642808707,7.619310388671849,27.586607427624354
16,-127895.25498694358,-440.4202086351351,-11.700615759289914,-2.2687729041394724,7.211300505455393,15.296336424793566
17,-176798.7986865859,-896.7317306706511,-11.709368443875247,-3.8536370986750845,6.409125714854683,15.497578297153005
18,-285243.76482309634,-1239.6654617398447,-24.763324154428375,-4.4958328732854715,2.700177531819402,16.789965106096314
19,-201012.2569270705,-840.3574742543533,-52.13227789742475,-2.8302293989890317,3.515158735847841,9.075284533055871
20,-12519.002275679179,-207.6706612543674,-15.422552394354382,-0.25915514613115764,1.8526118207108484,0.0
21,12519.00227567918,-331.44920381558705,-16.09956494462994,-1.2373474270900744,5.309949342869055,0.4703368606723644
22,-21302.015173768345,-463.6740330453373,-18.492485469468548,-0.5343570649432307,-0.952625408625959,0.021576155433883564
23,-20120.052744670436,-316.22026916624026,-34.64488000701381,0.20223964441991424,2.97480691566966,0.10068872535812329
24,-15637.528078064388,-41.85213158143321,-22.665148741752603,0.2599501006598314,0.8489424515083369,0.13862943611198905
25,-33068.28722119904,-266.92878257447654,-19.31962322902894,-1.1542391388265258,0.4995205132782285,-1.9068322982087673
26,-127293.07423608018,-524.7602149982463,-32.119056200309096,-1.9185705062353593,2.886925483276379,-3.020127355638707
27,-7887.323751302236,-587.0085019756216,-21.13802527652861,-2.934001500608659,2.580129594333674,0.808915779076193
28,-180321.2618997782,-214.18841567759586,-29.04345606993529,-1.417782062501148,3.7300970300066716,0.9307920700315045
29,-112429.67327673807,-226.1366978064321,-20.34449290918083,-1.7963700999041945,5.013422683838779,0.904082341320451
30,-100908.56205480394,-115.80005206324542,-40.18646485255881,-2.3494275310026165,7.224189027094922,1.4759694233752705
31,-49807.26258672372,-252.70507697768258,-28.136643935305532,-1.2097499325690413,1.8976311125190906,-0.6867892386466857
32,-47742.1854765191,-110.61689587195971,,-2.144029820316895,16.379041430997496,0.1104164617187415
33,-36387.4102804718,-535.6003956200113,-16.217830275104912,-1.251745944202268,6.06098133790244,-4.308781391772127
34,-204401.4309330754,-239.21783747050674,-30.901199780078475,-0.1259899756326963,3.7822236672334872,2.1501113630736657
35,-284221.67481416167,-583.5706865298058,-60.25497429803685,-2.529416116843501,4.351086816527567,-0.06998027448747969
36,-65576.12518841345,-153.2344438812685,-20.79441541679836,-0.3773468495513536,3.722229413380739,-0.03972567287934932
