t,coef_sent_total,ci_lo_sent_total,ci_hi_sent_total
28,0.014478360009987548,-0.01123988198389126,0.04019660200386636
29,0.015051016743122772,-0.01204646214227837,0.042148495628523915
30,0.016554405288980348,-0.020909348248843218,0.054018158826803914
31,0.006138506462455708,-0.02517198578737251,0.037448998712283924
32,0.004294379774571214,-0.025237285047850347,0.033826044596992774
33,0.003124039350940022,-0.026650643573848987,0.03289872227572903
34,0.0005882490782870842,-0.021353543253597663,0.02253004141017183
35,0.0017006044370731777,-0.02019648829025393,0.023597697164400286
36,-4.624595439370327e-05,-0.026127452341942192,0.026034960433154786
37,-0.009064324732308945,-0.027990381739749236,0.009861732275131346
38,-0.008655814659403575,-0.028025755179022494,0.010714125860215345
39,-0.002402651818255476,-0.01806564127720766,0.013260337640696708
40,0.003105895525104367,-0.0055061032375309255,0.01171789428773966
41,0.002438187967097827,-0.0058024406548885295,0.010678816589084183
42,-8.331707107563091e-05,-0.00615542909458251,0.005988794952431248
43,-6.322004239715795e-05,-0.006766304204602809,0.0066398641198084935
44,-0.0016465314284873633,-0.013341463644233113,0.010048400787258386
45,-0.0014177401933678502,-0.013271380517906387,0.010435900131170687
46,-0.0065944598040619876,-0.019938399823456736,0.006749480215332759
47,-0.004933824592442702,-0.0172167601414485,0.007349110956563095
48,-0.006013886696616164,-0.017008308068890757,0.00498053467565843
49,-0.0036839619339147055,-0.018792684147080477,0.011424760279251064
50,0.0015955640438677782,-0.00824659736750833,0.011437725455243887
51,0.0007099338485909157,-0.009673524988618502,0.011093392685800334
52,0.0008243020010840624,-0.007038929065882604,0.008687533068050729
53,-0.0028507673011417684,-0.011792029270231952,0.0060904946679484154
54,-0.000829698107191211,-0.011202617812610286,0.009543221598227864
55,-0.00041356880662338225,-0.010969752938726542,0.010142615325479777
56,-0.0007344255062864957,-0.013107795804531131,0.01163894479195814
57,-0.0008026173915957613,-0.012483728712039656,0.010878493928848133
58,-0.0011891293233232542,-0.011370834619283789,0.00899257597263728
59,7.323479809191735e-05,-0.014497886790235948,0.014644356386419782
60,-0.0005166152108903171,-0.01442217326699306,0.013388942845212425
61,0.000167042512182497,-0.011370303348002127,0.011704388372367121
62,-0.0024128399056058403,-0.012855558528363,0.00802987871715132
63,-0.002653164102268922,-0.011550177066270637,0.0062438488617327925
64,-0.003018635751655438,-0.01228793285639133,0.006250661353080455
65,-0.001113278883967516,-0.010147479538530867,0.007920921770595835
66,-0.00026263837645534166,-0.009417854362374667,0.008892577609463983
67,0.0010451549850054517,-0.009279606073072473,0.011369916043083376
68,0.00106819967606675,-0.009257629104327293,0.011394028456460793
69,0.0012295256964292428,-0.008167807818288304,0.01062685921114679
70,0.001662594522415399,-0.01104830081880504,0.014373489863635838
71,0.0017891789549937392,-0.0056089543161818595,0.009187312226169338
72,0.0038609844864784665,-0.00738893651150657,0.015110905484463503
73,-0.0003263603838894735,-0.013081073819723623,0.012428353051944676
74,-0.0019880389770952217,-0.01912261812936896,0.015146540175178518
75,0.0005732084537710992,-0.013098091144503223,0.014244508052045421
76,0.0013274135533009497,-0.014865853027247116,0.017520680133849015
77,0.002786930763325795,-0.012616014872838725,0.018189876399490316
78,-0.0003486934770918215,-0.018440017919114586,0.017742630964930943
79,0.0024228526137013845,-0.015412223931774056,0.020257929159176825
80,0.0008115496086911062,-0.023817147268466538,0.02544024648584875
81,0.001904953026289475,-0.016890637371293205,0.020700543423872154
82,-0.0006682819344282272,-0.02211920894221836,0.020782645073361902
83,-0.0008937289105852182,-0.021419881805554066,0.01963242398438363
84,-0.0017375226160153447,-0.02343060663136664,0.01995556139933595
85,-0.0038245751057680907,-0.02338480399288332,0.015735653781347135
86,-0.004482800005169582,-0.02389917882896447,0.014933578818625306
87,-0.003872453929831111,-0.028257447954011167,0.02051254009434894
88,-0.004153477774846444,-0.028014957301211733,0.019708001751518846
89,-0.004799880097789373,-0.030440397922900035,0.02084063772732129
90,-0.009129535673253086,-0.03512334241440247,0.016864271067896296
