,PC1,PC2,PC3,PC4,PC5
0,2.053752778285669,0.4321165952773711,-0.5391886592942198,1.6938246831954753,-1.433900726030534
1,2.005527952689964,0.5968732849093203,-0.2819529805240471,1.7359292256810654,-1.5103584073320544
2,1.8812774440998805,0.5113251181764005,-0.4012796707991185,1.8996830733330243,-1.3168096137370375
3,1.7650154742003272,0.2844597972015821,-0.24429528253166863,1.9822504580034304,-1.2514366088896987
4,1.6687745133220981,-0.2062817272677792,0.09692216632711895,1.9503796392585726,-1.2784261088396975
5,1.59800507712931,-0.13206936692845622,0.06427867730855488,1.775583286550945,-1.2997877219504455
6,1.529542554570598,-0.07243833291322849,-0.1049204920463771,1.5696440286859052,-1.2725859375849968
7,1.3380871518059052,-0.5616118576107626,0.2582849615311023,1.3230494007811853,-1.350836054177284
8,0.7822965789869408,-0.7701394034771348,0.4278730408258665,1.0609891172070234,-1.2980061118309485
9,0.42678085172432145,-0.807470805600274,0.06951689836591221,0.7111353128506437,-1.185163866294597
10,0.26741067523926343,-0.3429807832808833,-0.2826268747318392,0.5011155540071246,-1.095849726512559
11,0.14417448275174075,-0.39704603295809937,-0.0924609364689456,0.4393669101603821,-1.0407356118705957
12,0.05438348920234333,-0.6132716902782841,-0.14614128030710996,0.5030107859263913,-0.8774581783985321
13,-0.14836344154188627,-1.8432310362684239,-0.10730082470470069,0.6212021189282079,-0.7329254416135762
14,-1.501061470248121,-4.348789885341919,2.627127693282384,0.5055385022047824,-1.0355013913006301
15,-1.8652144175447025,-3.486959639932181,1.0391231998908974,0.6358380542605817,-0.28058410615671353
16,-1.9092105881952615,-2.587842072970986,0.19215004230218,0.8212138687083806,0.06983668023878589
17,-2.138777523018652,-2.3221703419411854,0.638062121102709,1.041917839383205,0.23733796897892448
18,-2.160942606976947,-1.727899847420911,0.7585822865073398,0.8869331878247864,0.16411560099176556
19,-2.3340121946871277,-0.8520160563908298,0.6047886916911138,0.9695877575827012,0.35703604363812974
20,-2.4157456097681407,-0.1738037568182737,0.6900389130572556,0.9176304937322038,0.3533764465085017
21,-2.4174537837653784,-0.10843967674245356,0.5712035707170375,0.8707534914283206,0.39864418396502455
22,-2.2412018625512404,-0.42536452499454613,1.1563479815076585,0.44137869416657344,0.05974539002969187
23,-1.9870894770983099,-0.02352200156931906,0.6765823502793664,0.44997684138512706,0.10154548991320056
24,-1.9761353206210095,-0.07135799886981559,1.0079533909380154,0.2582647411046869,-0.0641655884928258
25,-1.8792139435570652,0.47968386598813173,0.8432703332377208,0.21070774782881435,-0.07024558476403318
26,-1.9752097177898154,0.20413061807178662,0.9704779658638085,0.31171900809898634,0.02748286218152529
