,inter_sent_economic_activity_x_gdp,inter_sent_financial_conditions_x_vix,inter_sent_labor_market_x_unemployment_gap,inter_sent_monetary_policy_x_implied_ffr,inter_sent_inflation_x_inflation_dev_from_target,inter_sent_macro_x_cfnai
0,21204.845140720026,-87.29804231294204,-1.5412770723086875,-35.27280145316509,-1.870520570290117,-0.7219571504526116
1,-28643.15813887467,-86.32602766462698,1.4021027933855288,-11.826759241919454,-1.3249387448097794,-0.06904369738842739
2,-34091.5083948599,-44.83837235064371,3.395689656085151,-22.27486055406479,-0.371674796819478,0.13862943611198905
3,13899.174201453217,-216.41649306507512,0.8983967363781433,-7.271113924073826,0.011381616457574094,-0.043944491546724404
4,20190.15327179034,-131.7153778843997,-0.9821072614252068,8.547080977772534,0.027160730940450902,-0.09704060527839235
5,-92303.1542565847,-179.04240781348136,1.0028904318514607,-28.16344043331512,-0.22483276568490762,0.23122974063169316
6,-177461.98281533387,-571.2422480199424,1.5247017548123445,-90.97218751312285,-0.7722074019431715,0.5932506358807794
7,-100484.89419950754,-325.00086303562625,0.11913743018604568,-41.88183262707887,-0.09001455227378269,1.1915420884849723
8,-68443.64474008493,-187.94345304412968,0.03375644167900636,-20.911686722263735,0.26761610378700007,0.6376954061151497
9,-282378.7316561732,-776.0560110232735,-0.5284897668510194,-45.457941985707,-0.23531363333768898,6.747318677246508
10,-134326.28075639516,-434.7595295232492,0.2623915479350428,-18.05321826210494,-0.14765234336255867,2.9359578452315005
11,-238277.43756861557,-633.5140382018524,-5.475147312668733,-27.703299209160296,0.803588781852567,0.4921344981975611
12,-88384.51511554273,-316.81734842104044,-5.758859678175098,-13.139472699221708,0.15106352228097572,2.2396993365350686
13,-71696.7298985093,-312.6027011578921,-2.6110511766331017,-11.097554870953262,-0.23124187818277636,4.622739430608382
14,-102434.4457513241,-816.0925925942547,-3.7221523479239105,-8.699906686934531,1.6687159138368506,3.104416133108706
15,-194515.69711348886,-1467.4390533792832,-10.12979230647847,-3.5325197142469658,6.0954483109374795,22.069285942099484
16,-102316.20398955488,-352.3361669081081,-9.36049260743193,-1.8150183233115775,5.769040404364314,12.237069139834853
