label,n,oos80,oos60,oos70,oos90
speeches_wordcount_ewma10_4f_matched,151,0.2921,0.3295,0.3023,0.165
statements_zscore_ewma10_4f_matched,151,0.2937,0.3264,0.3404,0.1677
minutes_zscore_ewma10_4f_cons_matched,151,0.2956,0.3173,0.3315,0.2258
speeches_zscore_ewma10_4e_inter,151,0.2958,0.3427,0.3414,0.2641
statements_minutes_speeches_press_conferences_wordcount_ewma10_4e_inter,151,0.2977,0.3346,0.337,0.1647
statements_minutes_speeches_press_conferences_wordcount_4e_inter,151,0.2987,0.3365,0.3479,0.16
statements_wordcount_4b_cons,151,0.2989,0.3431,0.3542,0.1586
statements_minutes_speeches_press_conferences_wordcount_4b_cons,151,0.299,0.3438,0.3574,0.1575
statements_wordcount_ewma10_4f_cons_matched,151,0.2992,0.3475,0.3563,0.1701
statements_wordcount_4e_inter,151,0.2994,0.3212,0.3252,0.1579
statements_minutes_speeches_press_conferences_zscore_ewma10_4b_cons,151,0.3006,0.3125,0.3246,0.2707
statements_minutes_speeches_press_conferences_wordcount_ewma10_4f_cons_matched,151,0.3011,0.3434,0.3581,0.1847
statements_wordcount_4f_cons_matched,151,0.3021,0.334,0.3353,0.1703
statements_minutes_speeches_press_conferences_zscore_4b_cons,151,0.3026,0.345,0.3544,0.1774
statements_minutes_speeches_press_conferences_zscore_ewma10_4e_inter,151,0.3101,0.3166,0.3301,0.2405
minutes_wordcount_4e_inter,151,0.3122,0.3383,0.3513,0.209
minutes_wordcount_ewma10_4e_inter,151,0.3128,0.3259,0.3463,0.2543
statements_wordcount_ewma10_4f_matched,151,0.3185,0.4524,0.4871,0.169
statements_minutes_speeches_press_conferences_wordcount_ewma10_4f_matched,151,0.3204,0.4582,0.4971,0.1704
minutes_wordcount_ewma10_4b_cons,151,0.3302,0.3138,0.3295,0.2865
statements_minutes_speeches_press_conferences_zscore_ewma10_4f_cons_matched,151,0.3324,0.3278,0.351,0.2363
minutes_wordcount_ewma10_4f_cons_matched,151,0.3325,0.3551,0.3694,0.2444
statements_zscore_ewma10_4f_cons_matched,151,0.3414,0.3437,0.3609,0.1912
