model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90
4b_sd_var_joint_ev3.0,207,0.967,0.9658,278.03,304.69,999.2504,0.0,0.627863,0.658889,0.437728,0.27165
4b_sd_macro_interactions_ev3.0,207,0.9719,0.9705,250.61,287.27,914.0457,0.0,0.60031,0.607444,0.658927,0.234404
4b_topic_sd_matched_interactions_ev3.0,207,0.9708,0.9691,260.6,300.59,799.2859,0.0,0.593921,0.574869,0.492269,0.353462
4c_all_topics_ev3.0,207,0.9693,0.9676,270.81,310.8,599.7773,0.0,0.616772,0.645146,0.412238,0.310887
4d_topic_pca_ev3.0,207,0.9748,0.9735,228.21,264.87,829.2569,0.0,0.507848,0.396978,0.392474,0.288398
4e_total_interactions_ev3.0,207,0.9735,0.972,240.51,280.5,789.4964,0.0,0.580613,0.54137,0.468639,0.251394
4f_matched_interactions_ev3.0,207,0.9673,0.9654,284.05,324.05,570.4232,0.0,0.768832,0.806262,0.5224,0.208534
4g_novelty_ev3.0,206,0.9652,0.9631,295.46,338.72,523.0898,0.0,0.661075,0.704698,0.49047,0.278432
5a_uncertainty_elevated_sentences,215,0.9734,0.9726,247.47,271.07,1449.9282,0.0,0.554792,0.440386,0.440427,0.285998
5a_uncertainty_flag_gt_median,102,0.9779,0.9765,99.74,118.11,651.0194,0.0,0.456773,0.432802,0.268356,0.234499
5b_skew_up,196,0.9731,0.9723,223.83,246.78,1339.9425,0.0,0.507088,0.409418,0.462226,0.223306
5b_skew_down,206,0.9713,0.9704,245.69,268.99,1376.7234,0.0,0.546382,0.437659,0.443342,0.290443
5c_interpretive_only,215,0.9734,0.9726,247.47,271.07,1449.9282,0.0,0.554792,0.440386,0.440427,0.285998
5c_interpretive_descriptive,215,0.9734,0.9726,247.47,271.07,1449.9282,0.0,0.554792,0.440386,0.440427,0.285998
5d_odyssean_all,63,0.9768,0.9744,69.7,84.7,507.6844,0.0,0.618221,0.686061,0.53685,0.319106
5d_delphic_all,54,0.9892,0.9878,8.2,22.12,766.5959,0.0,0.238683,0.251102,0.151942,0.125685
5d_odyssean_minutes,104,0.9739,0.9723,125.12,143.63,835.2844,0.0,0.505682,0.428903,0.29604,0.129353
5d_delphic_minutes,71,0.9693,0.9664,80.35,96.19,293.2224,0.0,0.554417,0.557643,0.666497,0.825283
5e_up_LOOKAHEAD,101,0.9781,0.9767,96.72,115.03,542.0208,0.0,0.417902,0.382921,0.427702,0.466159
5e_down_LOOKAHEAD,88,0.9802,0.9788,81.18,98.52,796.6679,0.0,0.489996,0.505314,0.356739,0.222637
6a_ev1.0,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
6a_ev1.5,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
6a_ev2.0,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
6a_ev2.5,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
6a_ev3.0,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
6b_agg_sum,207,0.9657,0.9647,283.67,307.0,1085.1535,0.0,0.641521,0.679242,0.46691,0.263074
6b_agg_power,207,0.9657,0.9647,283.78,307.11,1082.6476,0.0,0.641647,0.679396,0.467998,0.265274
6b_agg_log,207,0.9659,0.9648,282.9,306.23,1093.0948,0.0,0.64009,0.677354,0.458622,0.245817
6c_Gardner_wordcount,213,0.9672,0.9663,288.36,311.89,1124.6465,0.0,0.629001,0.677451,0.471214,0.255815
6c_Gardner_zscore,213,0.9673,0.9663,288.29,311.82,1117.9839,0.0,0.626664,0.676318,0.471856,0.255657
6c_Sharpe_wordcount,213,0.9673,0.9664,287.75,311.28,1162.2965,0.0,0.630163,0.675473,0.469062,0.248209
6c_Sharpe_zscore,213,0.9675,0.9665,286.83,310.36,1254.4275,0.0,0.625898,0.676352,0.466113,0.234959
7a_ffr_dv,215,0.9776,0.9769,120.0,143.59,1953.1082,0.0,0.436286,0.401802,0.360502,0.167809
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.584518,0.572929,0.534327,0.429262
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.584518,0.572929,0.534327,0.429262
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.584518,0.572929,0.534327,0.429262,,
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.584518,0.572929,0.534327,0.429262,,
baseline_favar,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.584518,0.572929,0.534327,0.429262,,
