model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90,cw_tstat,cw_pval
4h_gard_base,151,0.968,0.9669,189.55,207.66,1237.2524,0.0,0.581312,0.575493,0.529901,0.424344,0.9687,0.1663
4h_gard_total,151,0.9521,0.9505,250.6,268.71,672.5059,0.0,0.599126,0.659201,0.402541,0.354239,4.7547,
4h_gard_total_inter,151,0.946,0.9437,270.8,291.92,476.1414,0.0,0.829742,0.941765,0.690982,0.722894,0.4508,
4h_gard_topics,151,0.9422,0.9394,283.03,307.17,473.0374,0.0,0.679385,0.706519,0.592955,0.476069,1.6559,
4h_gard_topics_matched,151,0.9495,0.9463,266.57,296.74,373.6469,0.0,0.670328,0.737793,0.589969,0.507073,2.1457,
4h_gard_topics_inter,151,0.9401,0.9349,298.45,337.67,183.353,0.0,0.756262,0.815658,0.773537,0.563707,3.0909,
4h_gard_all_sent,151,0.9402,0.9372,288.26,312.4,459.6571,0.0,0.702655,0.737707,0.593954,0.465952,1.6421,
4h_gard_all_sent_inter,151,0.9017,0.894,371.18,407.39,139.9545,0.0,1.026473,1.110993,1.061653,0.649678,1.3738,
