t,date,y,yh_m,yh_b,loss_diff,cum_loss_diff,regime
75,2016-07-27,0.010000000000000009,0.05785625873567636,0.14210021020918104,0.015160244037133817,0.015160244037133817,pre_OOS
76,2016-09-21,0.009999999999999953,0.12989015488142777,0.13468206576112376,0.0011719682849684523,0.016332212322102267,pre_OOS
77,2016-11-02,0.13000000000000006,-0.005578211498528249,0.11994750184179118,-0.018280398713918882,-0.001948186391816615,pre_OOS
78,2016-12-14,0.12,0.07871322640131281,0.15226322068347525,-0.0006636822653186274,-0.0026118686571352423,pre_OOS
79,2017-02-01,0.13,0.08070364674385615,0.13589409900192795,-0.002395390041309997,-0.00500725869844524,pre_OOS
80,2017-03-15,0.12,0.08520907050241638,0.14811788927358488,-0.00041979307810425365,-0.0054270517765494936,pre_OOS
81,2017-05-03,0.13,0.004910216071543303,0.13538111458354282,-0.01561849764910677,-0.021045549425656264,pre_OOS
82,2017-06-14,0.10999999999999988,0.08898426834580188,0.13794694895830326,0.00033937097911675466,-0.02070617844653951,pre_OOS
83,2017-07-26,0.0,0.02858266968255416,0.12070015946701997,0.013751559489182049,-0.00695461895735746,pre_OOS
84,2017-09-20,0.010000000000000009,0.06583490518954518,0.12371218369123949,0.009812924082304691,0.0028583051249472316,pre_OOS
85,2017-11-01,0.14000000000000012,0.06639179354239638,0.12768494132278754,-0.005266507387682028,-0.0024082022627347965,pre_OOS
86,2017-12-13,0.10999999999999988,0.10537212842663637,0.12840015359190596,0.0003171484569061883,-0.002091053805828608,pre_OOS
87,2018-01-31,0.10000000000000009,0.005856463182633099,0.10846845377090036,-0.00879129081521306,-0.010882344621041668,pre_OOS
88,2018-03-21,0.18999999999999995,-0.030308548840372245,0.11411127392020935,-0.04277675794613716,-0.05365910256717883,pre_OOS
89,2018-05-02,0.1200000000000001,-0.007255919843316663,0.13713582817434095,-0.01590043252794813,-0.06955953509512697,pre_OOS
90,2018-06-13,0.08999999999999986,0.06498566952697818,0.1463704118132875,0.0025519065989860978,-0.06700762849614086,pre_OOS
91,2018-08-01,0.040000000000000036,0.06077702700388225,0.17135751366642926,0.01682311154550609,-0.05018451695063478,pre_OOS
92,2018-09-26,0.2500000000000002,0.07522635350276471,0.14277510819836162,-0.019048650088067536,-0.06923316703870232,pre_OOS
93,2018-11-08,0.06999999999999984,0.02280712757154579,0.1388698839003789,0.0025158937004033538,-0.06671727333829897,pre_OOS
94,2018-12-19,0.1299999999999999,-0.0018263911574212602,0.08328188618742786,-0.015195615247384971,-0.08191288858568394,pre_OOS
95,2019-01-30,0.010000000000000231,0.04512462466169747,0.10718323757015723,0.008210842406992465,-0.07370204617869147,A_pre_covid
96,2019-03-20,-0.020000000000000018,-0.0025486563960474135,0.12177566236262544,0.019795789044777957,-0.05390625713391352,A_pre_covid
97,2019-05-01,-0.010000000000000231,0.07036265671035397,0.10239820994613508,0.0061752010055492745,-0.047731056128364244,A_pre_covid
98,2019-06-19,0.020000000000000018,-0.05728434569643653,0.09731256893408742,4.363225461705145e-06,-0.04772669290290254,A_pre_covid
99,2019-07-31,-0.3599999999999999,0.0037371006484630404,0.10449183077096344,0.0834479824648112,0.035721289561908655,A_pre_covid
100,2019-09-18,-0.20999999999999996,0.06281313222390314,0.07939380878113284,0.009321771447034,0.045043061008942654,A_pre_covid
101,2019-10-30,-0.28,0.04690127739532652,0.08699156512113825,0.027818363707366442,0.0728614247163091,A_pre_covid
102,2019-12-11,0.0,-0.02480420820609261,0.052381172876944264,0.0021285385272331297,0.07498996324354223,A_pre_covid
103,2020-01-29,-0.9,0.00829491152280595,0.05952973673878238,0.09569766938777513,0.17068763263131737,A_pre_covid
104,2020-03-03,0.0,-0.2982339990766901,-0.21276490102428075,-0.04367461509740323,0.12701301753391414,B_covid_shock
105,2020-03-15,-0.15000000000000002,-0.3656757780173682,-0.23765452963537637,-0.038832724657798016,0.08818029287611612,B_covid_shock
106,2020-04-29,-0.09999999999999998,-0.11217625868253228,-0.4425674883280072,0.11720422278385541,0.2053845156599715,B_covid_shock
107,2020-06-10,-0.15000000000000002,-0.22770841130635727,-0.12756086132520364,-0.0055350822432912485,0.19984943341668027,B_covid_shock
108,2020-07-29,-0.16999999999999998,-0.17779249730610375,-0.11208698806620179,0.0032931939369786178,0.20314262735365887,C_zlb
109,2020-09-16,-0.31,-0.18141754621733067,-0.08485591514296642,0.03415641152533884,0.23729903887899773,C_zlb
110,2020-11-05,-0.05999999999999997,-0.25887924510005866,-0.04865085566822089,-0.03942415105450567,0.19787488782449206,C_zlb
111,2020-12-16,-0.13,-0.11364713747960457,-0.0020057403043275378,0.01611511440243229,0.21399000222692435,C_zlb
112,2021-01-27,-1.1400000000000001,-0.21593571387022067,-0.09304326598920407,0.24222359799001403,0.45621360021693835,C_zlb
113,2021-03-17,-0.24,-0.21973788014600534,0.03387766985550961,0.07459842454450587,0.5308120247614442,C_zlb
