series,adf_stat,adf_pvalue,adf_stationary,kpss_stat,kpss_pvalue,kpss_stationary,conclusion
sent_sd_statement,-7.9831,0.0,True,0.4494,0.0559,True,conflicting
sent_var_statement,-4.4069,0.0003,True,0.7321,0.0106,False,conflicting
sent_monetary_policy,-3.2869,0.0155,True,0.1628,0.1,True,conflicting
sent_monetary_policy_sd,-1.0085,0.7501,False,1.2054,0.01,False,conflicting
sent_inflation,-3.5695,0.0064,True,0.2039,0.1,True,conflicting
sent_inflation_sd,-2.8816,0.0475,True,1.0644,0.01,False,conflicting
sent_labor_market,-3.6842,0.0043,True,0.2306,0.1,True,conflicting
sent_labor_market_sd,-1.6724,0.4454,False,1.6094,0.01,False,conflicting
sent_economic_activity,-4.0611,0.0011,True,0.196,0.1,True,conflicting
sent_economic_activity_sd,-1.3995,0.5825,False,0.2898,0.1,True,conflicting
sent_financial_conditions,-2.1713,0.2168,False,0.2014,0.1,True,conflicting
sent_financial_conditions_sd,-3.0611,0.0296,True,0.0625,0.1,True,conflicting
sent_macro,-6.5603,0.0,True,0.27,0.1,True,conflicting
sent_macro_sd,-3.4237,0.0102,True,0.8617,0.01,False,conflicting
sent_total,-3.2558,0.017,True,0.2606,0.1,True,conflicting
sent_sd,-1.5047,0.5312,False,2.0071,0.01,False,conflicting
sent_var,-1.8877,0.3379,False,2.077,0.01,False,conflicting
