model,n_oos,rmse_exp,rmse_oos60,rmse_oos70,rmse_oos80,rmse_oos90
Naive-zero,76,0.2752534717023757,0.3022863694914606,0.30987023932186725,0.36165390691529486,0.17573061770789972
Market,76,0.26059560852825303,0.28513527218256063,0.2870379553753945,0.32361123779282824,0.15352484733749125
Macro FAVAR,75,0.29197357613072006,0.3211281054286229,0.3210211744798375,0.3728994998606919,0.22503558034614582
