model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90
Gardner_statements_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev3.0,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,,,0.602379,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev3.0,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,,,0.54295,
Gardner_statements_zscore__4c_all_topics_ev3.0,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,,,0.586477,
Gardner_statements_zscore__4d_topic_pca_ev3.0,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,,,0.485971,
Gardner_statements_zscore__4e_total_interactions_ev3.0,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,,,0.352638,
Gardner_statements_zscore__4f_matched_interactions_ev3.0,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,,,0.420024,
Gardner_statements_zscore__4g_novelty_ev3.0,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,,,0.479848,
Gardner_minutes_wordcount__4a_total_sent_ev1.0,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,,,0.547111,
Gardner_minutes_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_consensus_ev1.0,151,0.9746,0.9728,164.77,197.96,812.5976,0.0,,,0.425518,
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev1.0,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,,,0.535598,
Gardner_minutes_wordcount__4c_all_topics_ev1.0,151,0.9731,0.9712,173.41,206.6,849.6599,0.0,,,0.41973,
Gardner_minutes_wordcount__4d_topic_pca_ev1.0,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,,,0.491412,
Gardner_minutes_wordcount__4e_total_interactions_ev1.0,151,0.9801,0.9785,130.12,166.33,799.9323,0.0,,,0.377648,
Gardner_minutes_wordcount__4f_matched_interactions_ev1.0,151,0.9731,0.9712,173.37,206.56,1076.3784,0.0,,,0.496263,
Gardner_minutes_wordcount__4g_novelty_ev1.0,150,0.9686,0.9663,193.83,226.94,664.133,0.0,,,0.53804,
Gardner_minutes_wordcount__4a_total_sent_ev1.5,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,,,0.547111,
Gardner_minutes_wordcount__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_consensus_ev1.5,151,0.9746,0.9728,164.77,197.96,812.5973,0.0,,,0.425518,
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev1.5,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,,,0.535598,
Gardner_minutes_wordcount__4c_all_topics_ev1.5,151,0.9731,0.9712,173.41,206.6,849.6493,0.0,,,0.41973,
Gardner_minutes_wordcount__4d_topic_pca_ev1.5,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,,,0.491412,
Gardner_minutes_wordcount__4e_total_interactions_ev1.5,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,,,0.377648,
Gardner_minutes_wordcount__4f_matched_interactions_ev1.5,151,0.9731,0.9712,173.37,206.56,1076.3806,0.0,,,0.496263,
Gardner_minutes_wordcount__4g_novelty_ev1.5,150,0.9686,0.9663,193.83,226.94,664.133,0.0,,,0.53804,
Gardner_minutes_wordcount__4a_total_sent_ev2.0,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,,,0.547111,
Gardner_minutes_wordcount__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_consensus_ev2.0,151,0.9746,0.9728,164.77,197.96,812.5972,0.0,,,0.425518,
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev2.0,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,,,0.535598,
Gardner_minutes_wordcount__4c_all_topics_ev2.0,151,0.9731,0.9712,173.41,206.6,849.6498,0.0,,,0.41973,
Gardner_minutes_wordcount__4d_topic_pca_ev2.0,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,,,0.491412,
Gardner_minutes_wordcount__4e_total_interactions_ev2.0,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,,,0.377648,
Gardner_minutes_wordcount__4f_matched_interactions_ev2.0,151,0.9731,0.9712,173.37,206.56,1076.3809,0.0,,,0.496263,
Gardner_minutes_wordcount__4g_novelty_ev2.0,150,0.9686,0.9663,193.83,226.94,664.133,0.0,,,0.53804,
Gardner_minutes_wordcount__4a_total_sent_ev2.5,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,,,0.547111,
Gardner_minutes_wordcount__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_consensus_ev2.5,151,0.9746,0.9728,164.77,197.96,812.5974,0.0,,,0.425518,
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev2.5,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,,,0.535598,
Gardner_minutes_wordcount__4c_all_topics_ev2.5,151,0.9731,0.9712,173.41,206.6,849.6481,0.0,,,0.41973,
Gardner_minutes_wordcount__4d_topic_pca_ev2.5,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,,,0.491412,
Gardner_minutes_wordcount__4e_total_interactions_ev2.5,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,,,0.377648,
Gardner_minutes_wordcount__4f_matched_interactions_ev2.5,151,0.9731,0.9712,173.37,206.56,1076.3812,0.0,,,0.496263,
Gardner_minutes_wordcount__4g_novelty_ev2.5,150,0.9686,0.9663,193.83,226.94,664.133,0.0,,,0.53804,
Gardner_minutes_wordcount__4a_total_sent_ev3.0,151,0.968,0.9667,191.7,212.82,1024.2485,0.0,,,0.547111,
Gardner_minutes_wordcount__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_consensus_ev3.0,151,0.9746,0.9728,164.77,197.96,812.5971,0.0,,,0.425518,
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev3.0,151,0.9707,0.9686,186.26,219.45,805.6873,0.0,,,0.535598,
Gardner_minutes_wordcount__4c_all_topics_ev3.0,151,0.9731,0.9712,173.41,206.6,849.644,0.0,,,0.41973,
Gardner_minutes_wordcount__4d_topic_pca_ev3.0,151,0.9702,0.9683,187.05,217.22,880.3193,0.0,,,0.491412,
Gardner_minutes_wordcount__4e_total_interactions_ev3.0,151,0.9801,0.9785,130.12,166.33,799.9321,0.0,,,0.377648,
Gardner_minutes_wordcount__4f_matched_interactions_ev3.0,151,0.9731,0.9712,173.37,206.56,1076.3806,0.0,,,0.496263,
Gardner_minutes_wordcount__4g_novelty_ev3.0,150,0.9686,0.9663,193.83,226.94,664.133,0.0,,,0.53804,
Gardner_minutes_zscore__4a_total_sent_ev1.0,151,0.969,0.9677,187.1,208.22,967.0096,0.0,,,0.509165,
Gardner_minutes_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_consensus_ev1.0,151,0.979,0.9775,135.89,169.08,739.5633,0.0,,,0.382303,
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev1.0,151,0.9736,0.9717,170.76,203.95,734.7625,0.0,,,0.489846,
Gardner_minutes_zscore__4c_all_topics_ev1.0,151,0.9726,0.9706,176.42,209.61,900.0586,0.0,,,0.462904,
Gardner_minutes_zscore__4d_topic_pca_ev1.0,151,0.9708,0.9689,184.07,214.25,772.6376,0.0,,,0.50102,
Gardner_minutes_zscore__4e_total_interactions_ev1.0,151,0.9808,0.9792,125.01,161.22,995.1786,0.0,,,0.343174,
Gardner_minutes_zscore__4f_matched_interactions_ev1.0,151,0.976,0.9743,156.41,189.6,1073.8471,0.0,,,0.44496,
Gardner_minutes_zscore__4g_novelty_ev1.0,150,0.968,0.9655,198.37,234.49,587.3558,0.0,,,0.54253,
Gardner_minutes_zscore__4a_total_sent_ev1.5,151,0.969,0.9677,187.1,208.22,967.0096,0.0,,,0.509165,
Gardner_minutes_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_consensus_ev1.5,151,0.979,0.9775,135.89,169.08,739.5633,0.0,,,0.382303,
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev1.5,151,0.9736,0.9717,170.76,203.95,734.7625,0.0,,,0.489846,
Gardner_minutes_zscore__4c_all_topics_ev1.5,151,0.9726,0.9706,176.42,209.61,900.0586,0.0,,,0.462904,
Gardner_minutes_zscore__4d_topic_pca_ev1.5,151,0.9708,0.9689,184.07,214.25,772.6376,0.0,,,0.50102,
Gardner_minutes_zscore__4e_total_interactions_ev1.5,151,0.9808,0.9792,125.01,161.22,995.1786,0.0,,,0.343174,
Gardner_minutes_zscore__4f_matched_interactions_ev1.5,151,0.976,0.9743,156.41,189.6,1073.8471,0.0,,,0.44496,
Gardner_minutes_zscore__4g_novelty_ev1.5,150,0.968,0.9655,198.37,234.49,587.3558,0.0,,,0.54253,
Gardner_minutes_zscore__4a_total_sent_ev2.0,151,0.969,0.9677,187.1,208.22,967.0096,0.0,,,0.509165,
Gardner_minutes_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_consensus_ev2.0,151,0.979,0.9775,135.89,169.08,739.5633,0.0,,,0.382303,
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev2.0,151,0.9736,0.9717,170.76,203.95,734.7625,0.0,,,0.489846,
Gardner_minutes_zscore__4c_all_topics_ev2.0,151,0.9726,0.9706,176.42,209.61,900.0586,0.0,,,0.462904,
Gardner_minutes_zscore__4d_topic_pca_ev2.0,151,0.9708,0.9689,184.07,214.25,772.6376,0.0,,,0.50102,
Gardner_minutes_zscore__4e_total_interactions_ev2.0,151,0.9808,0.9792,125.01,161.22,995.1786,0.0,,,0.343174,
Gardner_minutes_zscore__4f_matched_interactions_ev2.0,151,0.976,0.9743,156.41,189.6,1073.8471,0.0,,,0.44496,
Gardner_minutes_zscore__4g_novelty_ev2.0,150,0.968,0.9655,198.37,234.49,587.3558,0.0,,,0.54253,
Gardner_minutes_zscore__4a_total_sent_ev2.5,151,0.969,0.9677,187.1,208.22,967.0096,0.0,,,0.509165,
Gardner_minutes_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_consensus_ev2.5,151,0.979,0.9775,135.89,169.08,739.5633,0.0,,,0.382303,
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev2.5,151,0.9736,0.9717,170.76,203.95,734.7625,0.0,,,0.489846,
Gardner_minutes_zscore__4c_all_topics_ev2.5,151,0.9726,0.9706,176.42,209.61,900.0586,0.0,,,0.462904,
Gardner_minutes_zscore__4d_topic_pca_ev2.5,151,0.9708,0.9689,184.07,214.25,772.6376,0.0,,,0.50102,
Gardner_minutes_zscore__4e_total_interactions_ev2.5,151,0.9808,0.9792,125.01,161.22,995.1786,0.0,,,0.343174,
Gardner_minutes_zscore__4f_matched_interactions_ev2.5,151,0.976,0.9743,156.41,189.6,1073.8471,0.0,,,0.44496,
Gardner_minutes_zscore__4g_novelty_ev2.5,150,0.968,0.9655,198.37,234.49,587.3558,0.0,,,0.54253,
Gardner_minutes_zscore__4a_total_sent_ev3.0,151,0.969,0.9677,187.1,208.22,967.0096,0.0,,,0.509165,
