t,date,y,yh,yh_b,hi_flag_elevated_wid,hi_flag_skew_up,hi_flag_skew_down,loss_diff_flag_elevated_wid,loss_diff_flag_skew_up,loss_diff_flag_skew_down
75,2016-07-27,0.010000000000000009,0.05785625873567636,0.14210021020918104,False,False,False,0.015160244037133817,0.015160244037133817,0.015160244037133817
76,2016-09-21,0.009999999999999953,0.12989015488142777,0.13468206576112376,True,True,True,0.0011719682849684523,0.0011719682849684523,0.0011719682849684523
77,2016-11-02,0.13000000000000006,-0.005578211498528249,0.11994750184179118,True,True,True,-0.018280398713918882,-0.018280398713918882,-0.018280398713918882
78,2016-12-14,0.12,0.07871322640131281,0.15226322068347525,True,True,True,-0.0006636822653186274,-0.0006636822653186274,-0.0006636822653186274
79,2017-02-01,0.13,0.08070364674385615,0.13589409900192795,True,True,False,-0.002395390041309997,-0.002395390041309997,-0.002395390041309997
80,2017-03-15,0.12,0.08520907050241638,0.14811788927358488,True,True,True,-0.00041979307810425365,-0.00041979307810425365,-0.00041979307810425365
81,2017-05-03,0.13,0.004910216071543303,0.13538111458354282,False,False,False,-0.01561849764910677,-0.01561849764910677,-0.01561849764910677
82,2017-06-14,0.10999999999999988,0.08898426834580188,0.13794694895830326,False,True,False,0.00033937097911675466,0.00033937097911675466,0.00033937097911675466
83,2017-07-26,0.0,0.02858266968255416,0.12070015946701997,False,False,True,0.013751559489182049,0.013751559489182049,0.013751559489182049
84,2017-09-20,0.010000000000000009,0.06583490518954518,0.12371218369123949,True,True,False,0.009812924082304691,0.009812924082304691,0.009812924082304691
85,2017-11-01,0.14000000000000012,0.06639179354239638,0.12768494132278754,True,True,True,-0.005266507387682028,-0.005266507387682028,-0.005266507387682028
86,2017-12-13,0.10999999999999988,0.10537212842663637,0.12840015359190596,False,True,True,0.0003171484569061883,0.0003171484569061883,0.0003171484569061883
87,2018-01-31,0.10000000000000009,0.005856463182633099,0.10846845377090036,False,False,False,-0.00879129081521306,-0.00879129081521306,-0.00879129081521306
88,2018-03-21,0.18999999999999995,-0.030308548840372245,0.11411127392020935,False,True,False,-0.04277675794613716,-0.04277675794613716,-0.04277675794613716
