model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90,cw_tstat,cw_pval
4h_llm_base,151,0.968,0.9669,189.55,207.66,1237.2524,0.0,0.581312,0.575493,0.529901,0.424344,0.9687,0.1663
4h_llm_total,151,0.9605,0.9591,221.62,239.72,937.9159,0.0,0.563119,0.62624,0.25479,0.227565,5.0826,0.0
4h_llm_total_inter,151,0.8778,0.8727,394.1,415.22,199.1093,0.0,1.323219,1.439959,0.959094,0.791195,0.7329,
4h_llm_topics,151,0.9646,0.9627,210.82,237.98,757.9202,0.0,0.725177,0.818003,0.265929,0.2232,3.0017,
4h_llm_topics_matched,151,0.9262,0.9215,323.84,354.02,203.7272,0.0,0.947208,1.025092,0.99864,0.653049,0.9225,
4h_llm_topics_inter,151,0.8091,0.794,471.47,507.68,46.3888,0.0,1.862896,2.047801,1.857093,1.07654,1.8903,
4h_llm_all_sent,151,0.9653,0.9634,207.85,235.01,766.2485,0.0,0.705161,0.795817,0.26653,0.225177,3.2098,
4h_llm_all_sent_inter,151,0.791,0.7744,485.15,521.36,38.9229,0.0,1.80432,2.006845,2.057932,1.202452,2.3759,
