label,n_total,n_pred,n_jpc,n_sent,oos_start,oos_end,rmse_m,rmse_b,improv,dm_t,dm_p
Original 4h_llm_all_sent,151,76,8,7,2016-07-27,2025-10-29,0.24283551202837014,0.28255185646922,14.056302774700184,2.4189,0.0078
Variant A: interpretive only,151,76,8,7,2016-07-27,2025-10-29,0.25134771273033735,0.28255185646922,11.043687388506642,1.2283,0.1097
Variant B: excl unconditional docs,151,76,9,7,2016-07-27,2025-10-29,0.3014023545444728,0.28255185646922,-6.671518039488193,-1.7115,
Variant B2: drop unconditional sents,151,76,8,7,2016-07-27,2025-10-29,0.2899025158841364,0.28255185646922,-2.601525789556143,-0.4405,
C: interp + cond  (not uncondit),151,76,8,7,2016-07-27,2025-10-29,0.25761128611724443,0.28255185646922,8.826900188741984,0.963,0.1678
D: interp + uncondit (Odyssean),151,76,8,7,2016-07-27,2025-10-29,0.30787598555817874,0.28255185646922,-8.962648274695537,-0.6399,
E: descrip + cond  (not uncondit),151,76,8,7,2016-07-27,2025-10-29,0.32245312233549855,0.28255185646922,-14.121749672745556,-3.5707,
F: descrip + uncondit (past decis),151,76,8,7,2016-07-27,2025-10-29,0.27284748166698897,0.28255185646922,3.434546466442408,0.8398,0.2005
