date,meeting_date,doc_type,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
2004-01-28,2004-03-16,minutes,,,,
2004-03-16,2004-05-04,minutes,,,,
2004-05-04,2004-06-30,minutes,,,,
2004-06-30,2004-08-10,minutes,0.46371301675148363,-1.1547005383792517,0.5337449961641163,0.9101977657037219
2004-08-10,2004-09-21,minutes,-0.7471868231720371,-2.598076211353316,-0.42163269560906447,1.6547845201499967
2004-09-21,2004-11-10,minutes,-1.0594008198445852,1.5537971921347118,-1.2819243308284265,-1.6910393226980922
2004-11-10,2004-12-14,minutes,-0.05227083734893167,0.09083405243909486,-0.06442903104588002,0.0020914628569077176
2004-12-14,2005-02-02,minutes,0.5233959162806296,-1.1079724299679155,0.6803360514166092,0.9678366233145203
2005-02-02,2005-03-22,minutes,2.182820625326997,-0.9643813802334014,2.171241492208165,0.9693411061374801
2005-03-22,2005-05-03,minutes,-0.3069867060579905,0.3333333333333332,-0.3326033166400173,-0.23067208660087643
2005-05-03,2005-05-03,minutes,-0.8313333510246291,-0.31622776601683794,-0.7099734008432478,0.0956922436078405
2005-06-30,2005-08-09,minutes,-0.9902674083052384,-0.9648363026488436,-0.7650500730498476,0.6574269700840324
2005-08-09,2005-09-20,minutes,-1.4646392077526875,0.445194562183994,-1.4417411358416612,-1.0605827751471983
2005-09-20,2005-11-01,minutes,-1.0873609907180055,1.8092103513212565,-1.2826436023562462,-2.0409650798029775
2005-11-01,2005-12-13,minutes,-1.005911805141991,6.063944967711084,-1.852725252219284,-4.674812589523682
2005-12-13,2006-01-31,minutes,-0.8346245000190314,-0.7696152885095854,-0.5155574659750728,0.6666065581771736
2006-01-31,2006-03-28,minutes,-0.4696343923249109,-1.087582783556156,-0.12251783444950483,1.0966126043779274
2006-03-28,2006-05-10,minutes,-0.5634846211309852,-0.6661247933212864,-0.31176237941921786,0.602146763214989
2006-05-10,2006-06-29,minutes,-0.6559350700198766,0.08001883017561683,-0.599771925908951,-0.24498454182126894
2006-06-29,2006-08-08,minutes,-0.6318972763276565,-1.033382976004076,-0.27617454926691837,1.0551456190942574
2006-08-08,2006-09-20,minutes,-0.4940963941028927,-0.6110228894979602,-0.26901434460263157,0.5554885945076993
2006-09-20,2006-10-25,minutes,-0.9540853435691589,0.16132763239437123,-0.8981620854109431,-0.4690558658744928
2006-10-25,2006-12-12,minutes,0.8703277914866877,-0.22778823957816519,0.8426974755691988,0.3791314025560586
2006-12-12,2007-01-31,minutes,-0.23935677693908453,0.17134517618657222,-0.2613330851990066,-0.20616238017838168
2007-01-31,2007-03-21,minutes,3.187793282651223,0.16778901380350603,2.8126209349926086,0.38112688554894875
2007-03-21,2007-05-09,minutes,-0.20504365613036032,2.220011419841203,-0.7143386978003191,-1.8461170780777312
2007-05-09,2007-06-28,minutes,-0.09437211316229982,2.3743730210422416,-0.6939699332167503,-1.8953251928196688
2007-06-28,2007-08-07,minutes,-1.0716408356773157,1.0501868602658855,-1.2697959686207723,-1.5802488490593187
