date,meeting_date,doc_type,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total,gardner_inf_consensus,gardner_labor_consensus,gardner_out_consensus,gardner_fin_consensus,gardner_mp_consensus
1999-05-18,1999-05-18,statements,,,,,,,,,,,
1999-06-30,1999-06-30,statements,,,,,,,,,,,
1999-08-24,1999-08-24,statements,,,,,,,,,,,
1999-10-05,1999-10-05,statements,0.6109366763947803,-10.688499171506123,-2.9190277437483596,3.0624661421398516,,-0.8823370902452201,0.5773502691896257,,,,
1999-11-16,1999-11-16,statements,-1.4842005897194934,-1.4827942438702248,-3.2624455659133824,1.3235872134982265,,-3.417876782487159,-1.5,-1.5,,-1.5,
1999-12-21,1999-12-21,statements,-1.088190846847243,-1.0875409577467945,-0.34900612464632236,1.0094199235370263,,-0.5262160552041408,-1.0954451150103321,-1.0954451150103324,,-1.0954451150103324,
2000-02-02,2000-02-02,statements,2.5822632967478008,-0.9075900846285357,-1.0543207040568752,0.85417083379011,,0.013661287815298052,0.9128709291752768,-0.9128709291752769,,-0.9128709291752769,
2000-03-21,2000-03-21,statements,1.6161591709097858,-0.7977208853352834,0.3858965775231443,0.7561321663012113,,1.1975108291380496,0.8017837257372732,-0.8017837257372731,-0.9449111825230678,-0.8017837257372731,
2000-05-16,2000-05-16,statements,1.3429671606338665,-0.7212097855942255,-1.0210485428114053,0.6865768032663431,,-0.13128189503076867,0.724568837309472,-0.724568837309472,-2.184069891354803,-0.724568837309472,
2000-06-28,2000-06-28,statements,0.07545461296979447,1.371745645659572,-3.1871285855226485,0.6337362959262193,,-2.0996914068931494,-0.6666666666666666,1.3333333333333335,0.629940788348712,-0.6666666666666666,
2000-08-22,2000-08-22,statements,0.06016272075517283,1.1719973037188658,-2.608261615368787,0.5917405069257484,,-2.2260943822885997,-0.6210590034081188,1.161895003862225,0.5883484054145521,-0.6210590034081188,
2000-10-03,2000-10-03,statements,1.3581733030561918,0.9977320597945165,-1.4444676454908854,0.55727518122742,,-0.7213568240569534,-0.2270621920471109,1.044465935734187,0.5541888731518408,-0.5838742081211422,
2000-11-15,2000-11-15,statements,3.749474384032278,0.8975522671757775,-0.8506375122540313,0.5283019045505878,,0.8287666975408788,0.9022538168484517,0.9574271077563381,0.52545638988472,-0.5527707983925666,
2000-12-19,2000-12-19,statements,1.7768697920566576,-1.0346845978921957,-2.2179957209286556,-1.2752780237213246,,-2.4159612343395134,0.8416115126570842,-1.0377490433255416,-0.24326291948573617,1.7541160386140584,
2001-01-03,2001-01-31,statements,-0.4660709961476187,-0.9609965497094596,0.4970367674400008,-0.8570994756182649,,-0.10598226310541517,0.7919923387263681,-0.9636241116594315,-1.6254610640907248,1.52362350055011,
2001-01-31,2001-01-31,statements,-0.4938667739191136,-0.9013853802277401,-1.4539464153010715,0.6476957399908302,,-2.0569148086006295,0.7503864778184498,-0.903696114115064,-0.12007964607074093,-0.6831300510639731,
2001-03-20,2001-03-20,statements,-0.44041410046866036,-0.85184192940053,-1.3917470267877865,0.6198803969556334,,-1.8270947981913594,0.7148265474022566,-0.8539125638299665,-0.5390352090515419,-0.6527912098338668,
2001-04-18,2001-05-15,statements,-0.5009064919498318,-0.8097970361586468,-1.1316109388167506,0.5954153695898718,,-1.486512976147168,0.6839641664213175,-0.8116794499134278,-0.08675424637522865,-0.6262242910851495,
2001-05-15,2001-05-15,statements,-1.2396850645133979,-0.7735175648305298,-1.7323120935593574,0.5736720473580109,,-2.3853905471078356,-1.789321602375836,-0.7752484124524868,0.7178422481944158,-0.6027004755663158,
2001-06-27,2001-06-27,statements,-1.1598411505888562,-0.7417858311185277,-0.8499043230378758,0.5541763670666814,,-1.3053875873279914,-1.6068258215714502,-0.7433919416750281,-0.2596500688298762,-0.5816750507471109,
2001-08-21,2001-08-21,statements,-1.0938764432624202,-0.7137175819556022,-1.4677183155719151,0.5365629842370824,,-1.865076026677954,-1.4712716879287187,-0.7152191702817127,0.7209037572160742,-0.5627314338711377,
2001-09-17,2001-10-02,statements,-0.14651098465450538,-2.6382857539184212,-1.0752671556386804,0.5205450679921542,,-1.4065135326761677,0.8123516221643803,1.3801311186847087,0.6954115103342365,-0.5455447255899809,
2001-10-02,2001-10-02,statements,-0.021339720816137556,-0.5049116155014032,-0.8746017368686172,0.5058937820058648,,-0.8331257434567745,0.7823508374300814,-0.7385489458759965,0.6724781478883078,-0.5298572101062741,
2001-11-06,2001-11-06,statements,0.04430583977965741,-0.49147894542499737,-0.9316278967427092,0.4924239766453875,,-0.8665946240627002,0.7554871347961876,-0.7142443052179218,0.6516993514623364,-0.5154614273559055,
2001-12-11,2001-12-11,statements,-1.1064638634496589,-0.4790724259044923,-0.4285244017054283,0.4799839822792574,,-0.7615013276113791,-1.5091669317270613,-0.6922186552431729,0.6327553004047374,-0.502188194262012,
2002-01-30,2002-01-30,statements,0.10039674936261407,-0.46756698200401714,-1.3129618821077083,0.46844818075554556,,-1.2005770444849848,0.7727420033362403,-0.6721344403334448,0.6153891905096591,-0.48989794855663565,
2002-03-19,2002-03-19,statements,-0.23641277229065716,-0.45685798271212374,0.730454642635329,0.45771150185499193,,0.6107687894735508,0.7494312723345006,-0.6537204504606136,-2.558550111304058,-0.47847437646934554,
2002-05-07,2002-05-07,statements,-0.05900482212673045,-0.4468571221572767,0.7100712322730742,0.44768528062374213,,0.6496570966683844,0.7281325306265323,-0.6367559105878924,-2.2453919290270568,-0.4678196435114913,
2002-06-26,2002-06-26,statements,-0.1205466823965308,-0.4374892740732549,1.343517418110366,0.4382940942591001,,1.2311255524238949,0.7085704088946849,-0.6210590034081188,-0.6792406136926525,-0.4578507717505198,
2002-08-13,2002-08-13,statements,-0.04556646298633216,-0.4286900584135862,-0.3985966286456179,0.42947331558776375,,-0.39534714699417883,0.6905197306549493,-0.6064784348631227,0.6970866106983643,-0.4484968509224523,
2002-09-24,2002-09-24,statements,-0.14859423223952353,-0.42040393674926596,0.025028300879429734,0.4211671985126901,,-0.023557822255723292,0.6737943112665111,-0.5928871321888776,-0.6920029482035733,-0.43969686527576396,
2002-11-06,2002-11-06,statements,-0.23219467588332376,-2.157748606563041,0.07924002046303492,0.41332736367501366,,-0.2781133942983701,0.6582386705427318,1.6680102111546347,-0.675750770117211,-0.4313979814072881,
2002-12-10,2002-12-10,statements,-0.020642128290932527,-0.3271279774108106,-0.42032951877216773,0.4059115889009532,,-0.39897288341403425,0.6437218032754383,-0.6156915517988871,0.7365587615923417,-0.4235541856104696,
2003-01-29,2003-01-29,statements,1.1577436060736748,-2.374464880712721,0.7003903296597672,0.3988828343676081,,0.6666946515577367,0.6301324294936197,1.6080605044147394,-2.095659014511033,-0.4161251892882395,
2003-03-18,2003-03-18,statements,-0.2088488169243315,-1.9021912445001117,0.36079143418149057,0.3922084503982418,,-0.012443649529426217,0.6173753260015206,1.5262410572075047,-1.4032402213510276,-0.4090755421540635,
2003-05-06,2003-05-06,statements,-3.3298414770229976,-1.8198604275749068,1.0200178910708229,0.3858595287141891,,-0.339705085890234,0.6053684596594242,1.4558435765838715,-0.9918394688491405,-0.4023739080814782,
2003-06-25,2003-06-25,statements,-2.581083574931671,1.2315577212107531,0.9405991808072978,0.3798103673692198,,0.3142816648992716,0.5940407230973745,1.3944333775567928,-0.9648892822082277,-0.3959924694262429,
2003-08-12,2003-08-12,statements,-0.000884149078973422,-0.1536087494632336,1.311127377078373,0.3740380265115785,,0.9729933304061826,-1.0455917400151855,-0.7259662712736915,0.8302254741851127,-0.38990643368252725,
2003-09-16,2003-09-16,statements,0.0033279263007990187,-0.15158113563493128,0.9298183286328764,0.3685219572686142,-6.031477373765931,0.6179706223817166,-1.0171900585497915,-0.711558704165499,0.8119940842738571,-0.3840936222925413,6.002192581838214
2003-10-28,2003-10-28,statements,0.0011500201908509373,-0.14963174206392824,0.9070566319323876,0.36324368992046036,-4.245611176373311,0.6063644105915943,-0.9910020549898791,-0.6979824404521128,0.7949225860635352,-0.37853412589164936,4.24566143558822
2003-12-09,2003-12-09,statements,-1.8411678209989637,1.5597478907664317,0.894969527096409,0.35818657046744856,-3.559803060406175,0.25776680687153763,-0.9667534953465323,1.423024947075771,0.7788925073983218,-0.37321001364608947,3.4677081768799405
