date,meeting_date,doc_type,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
1999-05-18,1999-05-18,statements,,,,
1999-06-30,1999-06-30,statements,,,,
1999-08-24,1999-08-24,statements,,,,
1999-10-05,1999-10-05,statements,2.309401076758503,,2.3094010767585025,0.0
1999-11-16,1999-11-16,statements,-1.224744871391589,,0.0,-0.7071067811865475
1999-12-21,1999-12-21,statements,1.4342743312012722,0.44721359549995787,1.414213562373095,0.15339299776947404
2000-02-02,2000-02-02,statements,0.0,0.4082482904638629,-0.22140372138502382,-0.7128324356402512
2000-03-21,2000-03-21,statements,0.0,0.3779644730092273,-0.20701966780270625,-0.6419407387663693
2000-05-16,2000-05-16,statements,1.3228756555322954,0.35355339059327373,1.3653316208096145,0.35355339059327373
2000-06-28,2000-06-28,statements,-1.4213381090374029,-2.6666666666666665,-0.3333333333333333,-0.6666666666666665
2000-08-22,2000-08-22,statements,-1.224744871391589,-1.8973665961010278,-0.31622776601683794,-0.6210590034081189
2000-10-03,2000-10-03,statements,0.10936965981495181,-1.5569978883230462,1.3568010505999362,2.62743393654514
2000-11-15,2000-11-15,statements,-1.1560040577463837,-1.35400640077266,-0.40219983326992187,-0.6589465276604692
2000-12-19,2000-12-19,statements,-1.0568458151135751,-1.2152872405004,-0.3851644432598217,-0.6240377207533828
2001-01-03,2001-01-31,statements,-0.9799578870122226,-1.1126972805283737,-0.37013827405494654,-0.5942379256439644
2001-01-31,2001-01-31,statements,0.33383047504632013,-1.0327955589886446,1.4270121360253518,2.2735942402352203
2001-03-20,2001-03-20,statements,-0.9682458365518541,-0.9682458365518544,-0.4330127018922194,-0.6338656910463873
2001-04-18,2001-05-15,statements,0.3811079669833529,-0.9146591207600472,1.3599710305114479,1.9776962723849199
2001-05-15,2001-05-15,statements,0.36943255277098286,-0.8692269873603532,1.2571030311009042,1.7353761547061926
2001-06-27,2001-06-27,statements,1.7221135436457835,-0.8300573566392896,2.891881119018134,1.5654362850722598
2001-08-21,2001-08-21,statements,0.2604940361258638,-0.7958224257542217,0.881630720467888,1.4377647171822827
2001-09-17,2001-10-02,statements,0.2541027354465522,1.2440333788202984,-0.6338656910463875,-0.8229511997978235
2001-10-02,2001-10-02,statements,0.2481603870737833,-0.8129201441957019,0.8870839645088235,1.3864223289537965
2001-11-06,2001-11-06,statements,1.6376629077228022,-0.7841599532608999,2.3630528562455195,1.3015685423780492
2001-12-11,2001-12-11,statements,1.5184508781343342,-0.7582875444051551,2.0766559657295187,1.2307659997889764
2002-01-30,2002-01-30,statements,0.10534830751347526,-0.7348469228349535,0.572831208315625,1.1705114640099177
2002-03-19,2002-03-19,statements,-1.2403473458920848,-0.7134772412317412,-0.7615881421392151,-0.9586409713301773
2002-05-07,2002-05-07,statements,1.4793756076643243,-0.6938886664887111,1.9231882899636215,1.156481110814518
2002-06-26,2002-06-26,statements,1.3980819735027001,-0.6758453353343746,1.772184905490247,1.1092435620922971
2002-08-13,2002-08-13,statements,0.04429936136602443,-0.6591530616030619,0.42363211783349825,1.067416443341489
2002-09-24,2002-09-24,statements,0.04357922277299542,-0.6436503043467893,0.41547448491940836,1.030036703111155
2002-11-06,2002-11-06,statements,1.3725775355629637,-0.6292014209714508,1.6718686139928205,0.9963655888801956
2002-12-10,2002-12-10,statements,0.0,-0.6156915517988872,0.3461208146306874,0.965825650350979
2003-01-29,2003-01-29,statements,0.0,-0.6030226891555274,0.34036561667843973,0.9379580992210838
2003-03-18,2003-03-18,statements,0.0,-0.5911106196862669,0.3348890996599843,0.9123931827776179
2003-05-06,2003-05-06,statements,2.7487370837451075,-0.5798825193638245,2.8937648999140797,0.8888291240187615
2003-06-25,2003-06-25,statements,3.7232785496774805,-0.5692750425533112,3.732327645330811,0.8670168470441731
2003-08-12,2003-08-12,statements,0.9423319976908069,-0.5592327894010801,1.1148239763082095,0.8467486987912979
2003-09-16,2003-09-16,statements,0.91921698051673,-0.5497070660262624,1.0824172813686679,0.8278499874845491
2003-10-28,2003-10-28,statements,0.8977370535075287,-0.5406548735632488,1.0527036639007894,0.8101725424840792
2003-12-09,2003-12-09,statements,0.8777074514725112,-0.5320380777059405,1.025328683670465,0.7935897485446842
2004-01-28,2004-01-28,statements,3.0600856793601445,-0.5238227218271837,3.0,0.7779926714588097
2004-03-16,2004-03-16,statements,1.7233162546325864,-0.5159784552030893,1.7679961820929988,0.7632870024599459
2004-05-04,2004-05-04,statements,0.6631319903696106,-0.5084780541975704,0.7910374744619737,0.749390624434925
2004-06-30,2004-06-30,statements,0.652401199043895,-0.5012970190403105,0.7765752719918095,0.7362316557105156
2004-08-10,2004-08-10,statements,1.6386614016089243,-0.49441323247304436,1.666298392947955,0.7237468644557459
2004-09-21,2004-09-21,statements,0.595879571531124,-0.4878066693383753,0.7131873568803431,0.7118803734628867
2004-11-10,2004-11-10,statements,0.5873819906491221,-0.4814591483544109,0.7018547749758816,0.7005825944693163
2004-12-14,2004-12-14,statements,1.572222084942927,-0.47535411901185687,1.5875449458183755,0.6898093454320232
2005-02-02,2005-02-02,statements,1.5178260063047881,-0.46947647786157115,1.5318838435778699,0.6795211147478871
2005-03-22,2005-03-22,statements,1.468739296795459,-0.4638124095143556,1.4817232791479629,0.6696824443504448
2005-05-03,2005-05-03,statements,1.4241502138735005,-0.4583492485141058,1.4362124740535651,0.6602614096248228
2005-06-30,2005-06-30,statements,1.383410771905931,-0.45307535891800194,1.3946741657578523,0.6512291786750184
2005-08-09,2005-08-09,statements,1.3459965821682491,-0.44798002895942113,1.35656161285479,0.6425596370157545
2005-09-20,2005-09-20,statements,2.243317817251521,10.190227707992634,-1.197058253336997,-1.6489955729213672
2005-11-01,2005-11-01,statements,0.32712406829286883,-0.37092425541671586,0.501810194697747,0.6541738703800856
2005-12-13,2005-12-13,statements,-0.583071631510681,-0.367199141433709,-0.34587586046386176,0.6459051215488104
2006-01-31,2006-01-31,statements,-0.5762793161822237,-0.3635842972101316,-0.34251733680911867,0.6379436674689967
2006-03-28,2006-03-28,statements,-0.5697199565151542,-0.3600743774504003,-0.3392549724281249,0.6302708777266682
2006-05-10,2006-05-10,statements,-0.5633804957891659,-0.3566643933012628,-0.3360842569673498,0.6228696687745111
2006-06-29,2006-06-29,statements,0.37149925424747854,-0.35334968232120134,0.535697214590643,0.6157243424321097
2006-08-08,2006-08-08,statements,-1.502950818030246,-0.35012588148898327,-1.2177867058672018,-1.7123075002750876
2006-09-20,2006-09-20,statements,-0.5378371297842683,-0.34698890289407586,-0.3229908034560031,0.6268284645842241
2006-10-25,2006-10-25,statements,-1.464045276427123,-0.3439349117992843,-1.197230226630589,-1.677519363247773
2006-12-12,2006-12-12,statements,-1.4286395906477434,-0.34096030680654027,-1.174698314310389,-1.628587524812907
2007-01-31,2007-01-31,statements,-1.3956949340501537,-0.33806170189140666,-1.1533984498153376,-1.5837176204803458
2007-03-21,2007-03-21,statements,-1.3649385791458768,1.3667310181062489,-2.002904246853218,0.6705986165337838
2007-05-09,2007-05-09,statements,-1.3361383198683883,1.3378446653310574,-1.9303170209644567,0.6633949867936191
2007-06-18,2007-06-28,statements,-0.40991865080358614,1.3107233744821114,-1.0307197213436023,-1.5754069469612286
2007-08-07,2007-08-07,statements,-0.40647937483310237,1.2851942488212205,-1.0154309963305408,-1.5363268205139602
2007-08-10,2007-09-18,statements,-0.4031254265743707,-0.4045060869333463,-0.1668010211154634,0.6875129740236469
2007-09-18,2007-09-18,statements,-0.3998533288157478,1.2744622389728453,-1.0054661446943682,-1.5155030349120076
2007-10-31,2007-10-31,statements,1.4458889478012127,1.2514697241996051,0.6882334982499729,-0.39300271994589664
2007-12-11,2007-12-11,statements,0.501125752379356,-0.43266639276011787,0.6813313594540423,0.7048575744212996
2008-01-30,2008-01-30,statements,-1.3416861681626298,-0.42922325544138784,-1.0176676161690836,-1.4994710207992925
2008-03-11,2008-03-18,statements,5.0847323147317605,-0.4258612136035248,4.918229824855048,0.7119294428475413
2008-03-18,2008-03-18,statements,-0.4074104619927065,-0.4225771273642583,-0.19489659970142953,0.7049147724126961
2008-04-30,2008-04-30,statements,-1.202681909824632,-0.4193680246920369,-0.9389371242913083,-1.4959376153950155
2008-06-25,2008-06-25,statements,-1.183977705001227,-0.4162310900294977,-0.9276810964456796,-1.4652988700219625
2008-08-05,2008-08-05,statements,-0.37195311307900863,-0.4131636538462641,-0.17013192763041673,0.7250779061897328
