date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
1999-02-03,1999-02-03,speech,{'unknown'},,,,
1999-03-30,1999-03-30,speech,{'unknown'},,,,
1999-05-18,1999-05-18,speech,{'unknown'},,,,
1999-06-30,1999-06-30,speech,{'unknown'},-0.6304749194619985,-0.5927276852843345,-0.6432024019012554,-1.652741488834225
1999-08-24,1999-08-24,speech,{'unknown'},-0.6640340218333363,-0.6906610261331073,-0.654938786670317,5.408820485388211
1999-10-05,1999-10-05,speech,{'unknown'},-0.4259299516488984,-0.4334038309515522,-0.42330548620372327,-0.2679101256884209
1999-11-16,1999-11-16,speech,{'unknown'},-0.39928537379942974,-0.3842697037382409,-0.4042768461245208,-0.5088632434350696
1999-12-21,1999-12-21,speech,{'unknown'},-0.5180999673559387,-0.5326620033290975,-0.5130621246856366,0.4401761836478384
2000-02-02,2000-02-02,speech,{'unknown'},-0.45288812413629387,-0.35758312087944866,-0.48503849669389826,-2.6898857647855983
2000-03-21,2000-03-21,speech,{'unknown'},-0.3207117900467547,-0.4450313116996035,-0.2787712936513966,1.2975542724725695
2000-05-16,2000-05-16,speech,{'unknown'},-0.09808979474110961,-0.18611267894104114,-0.06821959086090966,0.2734819319099361
2000-06-28,2000-06-28,speech,{'unknown'},-0.29218869960756716,-0.3528184116378798,-0.2713423309257594,0.4795554644184699
2000-08-22,2000-08-22,speech,{'unknown'},-0.47536073060036765,-0.4449934255689735,-0.48515949307115247,-0.6004138859583762
2000-10-03,2000-10-03,speech,{'unknown'},-0.37461375148630394,-0.3225141199302983,-0.3918789334443694,-0.7671254411879284
2000-11-15,2000-11-15,speech,{'unknown'},-0.2632653135713097,-0.23927908280618954,-0.27109129013691813,-0.2785213197719293
2000-12-19,2000-12-19,speech,{'unknown'},-0.3779228743861754,-0.43860776265085616,-0.3569670862297843,1.514911248951767
2001-01-31,2001-01-31,speech,{'unknown'},-0.44785854010482584,-0.46081974620494087,-0.4429414584227234,1.8611947757041543
2001-03-20,2001-03-20,speech,{'unknown'},-0.1417428662638619,-0.2748249045806939,-0.09643267850199223,0.7383285445825175
2001-05-15,2001-05-15,speech,{'unknown'},-0.10743304102422292,-0.23694997140570423,-0.06326075505252673,0.6106886165815674
2001-06-27,2001-06-27,speech,{'unknown'},-0.12689974061918022,-0.11761134706810454,-0.12985804371072113,-0.27279866902994454
2001-08-21,2001-08-21,speech,{'unknown'},-0.46316452462158336,-0.39964858894232685,-0.4840410036150662,-1.8076313622693985
2001-10-02,2001-10-02,speech,{'unknown'},-0.4214088309288872,-0.4266915258929904,-0.418927582849853,1.3250277622533968
2001-11-06,2001-11-06,speech,{'unknown'},-0.2637938599914103,-0.26153342237077454,-0.26413568075299043,-0.02709284164036837
2001-12-11,2001-12-11,speech,{'unknown'},-0.29639258090780957,-0.1319806722428909,-0.35177897382962175,-1.7686201713974419
2002-01-30,2002-01-30,speech,{'unknown'},-0.2636529405650833,-0.3303696403658643,-0.2405436499002707,0.7859075438278599
2002-03-19,2002-03-19,speech,{'unknown'},-0.11702329832538833,-0.03045021386557309,-0.14617953194673614,-0.6567667829872421
2002-05-07,2002-05-07,speech,{'unknown'},-0.29522048107477444,-0.256987367839968,-0.30760760440571494,-0.3975652062005111
2002-06-26,2002-06-26,speech,{'unknown'},-0.10266995716151506,-0.06943768797201547,-0.11373371976451602,-0.3348316905871498
2002-08-13,2002-08-13,speech,{'unknown'},-0.4153842401152135,-0.44037537804442645,-0.4060876534840466,2.13205254429852
