date,meeting_date,doc_type,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total,gardner_inf_consensus,gardner_labor_consensus,gardner_out_consensus,gardner_fin_consensus,gardner_mp_consensus
2011-04-27,2011-04-27,press_conferences,2.9973238543472917e-05,9.122289991491756e-06,1.1728658560489403e-05,0.0,0.0,5.082418709545408e-05,6.0890053742090905e-05,3.625778247402389e-05,3.0634126416828345e-05,0.0,0.0
2011-06-22,2011-06-22,press_conferences,-5.054025692342155e-06,5.054025692342155e-06,1.6846752307807184e-06,0.0,0.0,1.6846752307807184e-06,2.2355194229379195e-05,2.4985217079894396e-05,7.451731409793065e-06,0.0,0.0
2011-11-02,2011-11-02,press_conferences,1.650902618524796e-06,-3.301805237049592e-06,8.254513092623979e-06,-6.603610474099184e-06,0.0,0.0,1.0744947188584569e-05,2.7936862690319878e-05,3.6759029855684045e-05,0.0001396843134515994,0.0
2012-01-25,2012-01-25,press_conferences,-6.236079452706302e-06,3.118039726353151e-06,-1.0393465754510504e-06,-2.0786931509021007e-06,0.0,-6.236079452706302e-06,1.9238662015185717e-05,1.0614434215274878e-05,2.3861906375424144e-06,0.00010260619741432382,0.0
2012-04-25,2012-04-25,press_conferences,3.1482074192843647e-06,1.5741037096421824e-06,1.1018725967495276e-05,-1.4166933386779642e-05,0.0,1.5741037096421832e-06,1.6914749661705008e-05,7.121999857560003e-06,4.985399900292002e-05,0.00013531799729364006,0.0
2012-06-20,2012-06-20,press_conferences,-6.8357361329161015e-06,1.3671472265832203e-05,-6.8357361329161015e-06,-3.4178680664580508e-06,0.0,-3.4178680664580508e-06,9.52925481227368e-05,5.7175528873642086e-05,2.38231370306842e-05,7.14694110920526e-05,0.0
2012-09-13,2012-09-13,press_conferences,0.0,2.0301073832315188e-05,5.413619688617384e-06,-2.706809844308692e-06,0.0,2.300788367662388e-05,0.0,4.960301057205499e-05,9.411853288030947e-06,0.0001223540927444023,0.0
2012-12-12,2012-12-12,press_conferences,-4.197536033874491e-06,5.876550447424287e-06,-1.6790144135497964e-06,0.0,-8.395072067748982e-07,-8.39507206774898e-07,2.118850565944986e-05,1.7798344753937886e-05,6.356551697834958e-06,0.0,8.899172376968942e-05
2013-03-20,2013-03-20,press_conferences,0.0,9.99780509270581e-06,1.8745884548823393e-05,-2.4994512731764523e-06,0.0,2.624423836835275e-05,0.0,2.9005685114282398e-05,5.614003570506271e-05,0.00011602274045712959,0.0
2013-06-19,2013-06-19,press_conferences,-5.755062959940604e-06,6.906075551928725e-06,1.611417628783369e-05,0.0,3.4530377759643624e-06,2.071822665578617e-05,1.484185998189293e-05,2.059308072487644e-05,4.522402041541493e-05,0.0,0.00010982976386600769
2013-09-18,2013-09-18,press_conferences,4.9386164139623825e-06,2.2223773862830723e-05,1.8519811552358935e-05,-1.2346541034905956e-06,3.7039623104717875e-06,4.8151510036133235e-05,1.6441148907485654e-05,6.092896359832919e-05,5.5687762428580445e-05,0.00011508804235239959,0.00011508804235239959
2013-12-18,2013-12-18,press_conferences,-5.832114583846402e-06,6.804133681154136e-06,5.832114583846402e-06,-2.916057291923201e-06,4.860095486538668e-06,8.748171875769603e-06,1.962515945442057e-05,2.215743809370064e-05,1.7316317165665206e-05,9.812579727210283e-05,9.812579727210283e-05
2014-03-19,2014-03-19,press_conferences,9.213638469311381e-06,1.2284851292415175e-05,-9.213638469311381e-06,-4.6068192346556905e-06,4.6068192346556905e-06,1.2284851292415173e-05,2.662052442433116e-05,4.0954652960509475e-05,4.9913483295620925e-05,0.0001331026221216558,0.0001331026221216558
2014-06-18,2014-06-18,press_conferences,1.9822004051931694e-05,1.9822004051931694e-05,-1.8020003683574264e-06,-1.8020003683574264e-06,1.8020003683574264e-06,3.7842007735505956e-05,6.515622686213534e-05,5.254534424365754e-05,6.4383623381556665e-06,0.00014808233377758035,0.00014808233377758035
2014-09-17,2014-09-17,press_conferences,-1.0105905073746083e-05,5.0529525368730414e-06,-6.737270049164055e-06,-6.737270049164055e-06,0.0,-1.8527492635201154e-05,3.2668350901646484e-05,1.572920598968164e-05,2.359380898452246e-05,0.00014156285390713478,0.0
2014-12-17,2014-12-17,press_conferences,-2.0967764749367986e-05,2.4193574710809216e-05,9.677429884323687e-06,-9.677429884323687e-06,1.6129049807206145e-06,4.838714942161845e-06,4.157964260697962e-05,0.00012135235059503102,4.584422133590061e-05,0.00013753266400770182,0.00013753266400770182
2015-03-18,2015-03-18,press_conferences,-1.2349725106246402e-05,2.4699450212492804e-05,1.4113971549995889e-05,-3.528492887498972e-06,0.0,2.293520376874332e-05,4.088188056650606e-05,0.00010220470141626514,4.171620465970006e-05,0.0001460067163089502,0.0
2015-06-17,2015-06-17,press_conferences,-3.215853420809333e-06,3.3766460918498e-05,1.7687193814451334e-05,-4.823780131214e-06,1.6079267104046666e-06,4.502194789133066e-05,9.149967975112086e-06,9.297548103742926e-05,3.871140297162806e-05,0.0001372495196266813,0.0001372495196266813
2015-09-17,2015-09-17,press_conferences,1.5734649120645139e-06,3.6189692977483815e-05,2.8322368417161247e-05,-1.5734649120645139e-06,1.5734649120645139e-06,6.608552630670957e-05,2.760844597579291e-06,6.914381914381914e-05,4.87012987012987e-05,0.00013528138528138528,0.00013528138528138528
2015-12-16,2015-12-16,press_conferences,1.4272781150449228e-05,2.724803674176671e-05,1.5570306709580976e-05,1.2975255591317479e-06,1.2975255591317479e-06,5.9686175720060414e-05,2.907975784492558e-05,7.13775874375446e-05,3.244435792615664e-05,0.00011896264572924102,0.00011896264572924102
2016-03-16,2016-03-16,press_conferences,4.5317211661775956e-05,4.0461796126585674e-05,1.2947774760507414e-05,-1.6184718450634268e-06,1.6184718450634268e-06,9.872678254886902e-05,8.378467338938928e-05,0.00011100503962879914,2.621833316946875e-05,0.00013764624913971095,0.00013764624913971095
2016-06-15,2016-06-15,press_conferences,8.94831462224779e-06,1.2527640471146906e-05,0.0,-1.789662924449558e-06,1.789662924449558e-06,2.14759550933947e-05,2.7297344514325643e-05,4.486259228876128e-05,0.0,0.00014740566037735848,0.00014740566037735848
2016-09-21,2016-09-21,press_conferences,7.119457660995935e-06,2.2782264515186992e-05,-1.423891532199187e-06,0.0,1.423891532199187e-06,2.9901722176182926e-05,2.5313251487153527e-05,7.788692765278008e-05,3.420709660426152e-06,0.0,0.00012656625743576763
2016-12-14,2016-12-14,press_conferences,1.388283337493023e-05,2.974892866056478e-05,4.7598285856903646e-05,-1.9832619107043183e-06,1.9832619107043183e-06,9.123004789239864e-05,8.499787505312367e-05,0.00012462094462676029,0.00010523546435148644,0.00015785319652722967,0.00015785319652722967
2017-03-15,2017-03-15,press_conferences,1.9977111146497766e-05,1.6344909119861807e-05,1.6344909119861807e-05,0.0,3.6322020266359575e-06,5.629913141285734e-05,8.617853057770954e-05,0.00012178949362634985,4.321562677064026e-05,0.0,0.00014885382554331647
2017-06-14,2017-06-14,press_conferences,-1.5728265464278627e-05,2.9883704382129394e-05,3.145653092855726e-06,0.0,3.145653092855726e-06,2.0446745103562217e-05,3.97778803163137e-05,0.0001352447930754666,9.660342362533328e-06,0.0,0.0001352447930754666
2017-09-20,2017-09-20,press_conferences,-6.765782840957945e-06,2.706313136383178e-05,-6.765782840957945e-06,-1.353156568191589e-06,5.412626272766356e-06,1.7591035386490658e-05,1.4919405372179486e-05,7.196419061874811e-05,1.853623091695027e-05,0.00012233912405187178,0.00012233912405187178
2017-12-13,2017-12-13,press_conferences,2.5029352332858813e-06,2.8783755182787637e-05,-3.754402849928822e-06,0.0,3.754402849928822e-06,3.128669041607352e-05,7.742035381101692e-06,0.00010684008825920335,8.93311774742503e-06,0.0,0.00011613053071652537
2018-03-21,2018-03-21,press_conferences,2.5944903121434277e-05,1.5566941872860565e-05,1.7296602080956182e-06,-3.4593204161912363e-06,0.0,3.978218478619922e-05,0.0001029230135858378,7.628411595185625e-05,6.861534239055852e-06,0.00014409221902017292,0.0
2018-06-13,2018-06-13,press_conferences,1.6204113848281757e-05,1.4957643552260086e-05,1.8697054440325106e-05,0.0,0.0,4.985881184086695e-05,3.345944972074228e-05,7.72141147401745e-05,6.949270326615705e-05,0.0,0.0
2018-09-26,2018-09-26,press_conferences,1.5271338478998668e-05,5.454049456785238e-06,2.1816197827140953e-05,-1.0908098913570475e-06,0.0,4.145077587156781e-05,6.181342940906362e-05,5.8869932770536776e-05,5.04599423747458e-05,0.0001059658789869662,0.0
