date,meeting_date,doc_type,speaker_types,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total,gardner_inf_consensus,gardner_labor_consensus,gardner_out_consensus,gardner_fin_consensus,gardner_mp_consensus
1999-02-03,1999-02-03,speech,{'unknown'},,,,,,,,,,,
1999-03-30,1999-03-30,speech,{'unknown'},,,,,,,,,,,
1999-05-18,1999-05-18,speech,{'unknown'},,,,,,,,,,,
1999-06-30,1999-06-30,speech,{'unknown'},0.016928145219368685,-0.7404456894704264,-1.163049579584759,0.13765393327603997,6.517065178559543,-0.8447130122855502,2.667694429436404,1.3095856981473168,-2.0901707564204774,0.5773502691896254,1.1547005383792515
1999-08-24,1999-08-24,speech,{'unknown'},-1.0263925740530944,-1.1412880610683587,-1.3129905300961136,0.9460847610225821,-0.6568736484755463,-1.3822304764060829,-1.722023624749754,-1.9286030356315802,0.6016421381838511,-12.055555555555557,-0.8660254037844387
1999-10-05,1999-10-05,speech,{'unknown'},-0.23338032347250834,0.6728124366102287,-0.05119878375048918,-0.6659159598961816,-0.5746344537711461,-0.06995301513375149,0.1221744183389117,0.5766372275451059,0.8682715384835932,0.5331197126561013,-0.7302967433402215
1999-11-16,1999-11-16,speech,{'unknown'},-1.2299277570879392,-0.8842622587875375,-0.3758386855057592,-0.02843755946387738,-0.5178675414204539,-0.9153120351368634,-0.9423731092168951,-0.5794370093402302,-1.1818239697261923,0.4826219800793425,-0.6454972243679028
1999-12-21,1999-12-21,speech,{'unknown'},1.3360117395337432,0.4552832256873346,-0.8425522828779447,1.054598619507871,-0.4754467661681622,0.2692803295196088,1.583599287195843,1.500912266192622,-1.9896508682231986,-2.238832246758063,-0.5855400437691198
2000-02-02,2000-02-02,speech,{'unknown'},-0.325821343571918,-0.08203986699580594,-1.8034689228163088,0.7757406295109621,-0.44212026576841057,-1.1778146924177646,-0.14595657882966193,0.24902323373684473,-3.043674271556904,0.5945714430315512,-0.5400617248673217
2000-03-21,2000-03-21,speech,{'unknown'},0.22606943176395403,-1.50390820842853,-1.2025478566405352,0.41842416901221957,2.1834206047353675,-1.0227396983877635,2.276156380537155,-0.9966994573518434,-2.100838749578904,0.5527287321340888,1.7638342073763937
2000-05-16,2000-05-16,speech,{'unknown'},0.41712297810406934,0.7464437225777141,3.1998541433450747,0.6738451259496527,-0.5419769182090899,2.733829445888545,0.22374927536525385,-0.07425605576724706,2.19275773783292,0.518791559922211,-0.6210590034081188
2000-06-28,2000-06-28,speech,{'unknown'},1.6799685910541877,0.5677402104440021,-0.2201880471442588,0.1591660132942782,-0.51182052047563,0.42749539207650716,1.8202522746444083,1.356654983853935,-0.0487141204525921,0.4905173194569792,-0.5838742081211422
2000-08-22,2000-08-22,speech,{'unknown'},-0.9461290333549959,-0.4141002499729364,0.28651534499511044,-1.4783033616539663,-0.4862646916429254,-0.3426050636044636,3.1423503707620504,0.6382079657257359,4.515391689426778,0.46647121919710605,-0.5527707983925666
2000-10-03,2000-10-03,speech,{'unknown'},-0.6688046050698507,-0.6259795872540882,0.2691194636734669,0.5346348417300765,-0.4642355691542438,-0.0626758259648476,-0.14258223782469764,-0.005131475678674549,1.6118519121498491,-1.3431427284019664,-0.5262348115842176
2000-11-15,2000-11-15,speech,{'unknown'},0.18436616990611407,-0.9689184718769582,-0.2994244669520503,0.6500546536276757,-0.4449829189843139,-0.275526942039585,0.15387325852369033,-1.148146283659988,-0.0832542726464291,0.5280836791326626,-0.5032362797401964
